YAngle	Co_1	Co_2	Co_3	Co_4	Si_1	Si_2	Si_3	Si_4	Si_5	Si_6	Si_7	Si_8
0	6107	2640	93	4000	151619	150285	135115	150035	111026	149255	135050	152576
5	5867	2290	213	4419	150060	149825	133223	151229	111976	148742	135244	153056
10	5754	1867	417	4571	150491	150651	134801	152931	110944	151465	134513	152840
15	5316	1473	633	4865	149379	150854	134812	152128	110721	151924	134668	153728
20	5034	1233	887	4974	149527	151470	134530	152038	110934	150760	134904	153415
25	4529	1051	1173	5102	149410	151195	135549	152836	109962	151802	134528	153637
30	4172	810	1607	5071	149610	152144	135356	153375	110698	151209	135031	153274
35	3609	638	1862	5074	150509	151128	135276	152835	110985	151182	134562	152589
40	3104	583	2322	4684	149831	150842	135227	152316	111225	151248	134164	151341
45	2559	543	2633	4571	150769	150333	134645	151151	110978	150285	135438	151041
50	2156	629	2895	4312	150960	149379	135042	151001	111338	148735	134699	150777
55	1574	792	3382	3989	149107	149516	135771	150374	111327	149462	134627	150064
60	1108	987	3547	3695	149494	148841	136734	150237	111500	147595	134622	149654
65	697	1258	3860	3282	150058	148058	136268	149759	111205	147118	134608	148280
70	389	1612	3952	2976	149114	149159	136288	148856	111985	146854	135379	148875
75	199	1876	4211	2561	149082	148336	135035	149193	111929	147223	134569	148762
80	60	2304	4202	2002	148604	148115	135214	148661	112004	147425	134635	147991
85	28	2613	4140	1875	148414	149757	134217	148509	112572	147661	132939	147625
90	106	3018	4185	1509	148050	148941	134102	149769	114069	148052	135048	148641
95	237	3446	4007	1148	148329	149021	136127	149873	115103	149227	134648	149080
100	446	3764	3964	927	148793	149854	134744	150137	115316	150292	135125	149443
105	715	4073	3745	708	147747	149409	134765	149629	115549	150749	135444	149522
110	1075	4360	3339	543	148022	149188	134361	149522	114998	149734	135030	149401
115	1446	4545	3029	522	148038	149022	134801	149854	114691	149749	132336	148074
120	1929	4767	2693	454	147849	149906	135753	150838	112858	149593	132077	147837
125	2363	4747	2449	499	149806	148761	135276	149908	111627	147306	132831	147329
130	2748	4809	2035	596	149454	148776	134991	149021	112318	147479	131785	148429
135	3172	4815	1689	826	149781	147412	136062	149612	111969	146834	132562	147523
140	3595	4675	1286	965	149672	145955	135267	147921	111751	146441	131954	147469
145	3929	4342	983	1158	149429	144470	134598	146458	112030	145185	132957	146382
150	4245	6945	693	1476	149240	143632	226145	244082	112428	143740	133020	144296
155	4543	3785	424	1709	147920	141644	134306	143431	112335	142255	132282	143656
160	4628	3421	262	2011	148165	140645	134644	142229	112079	140560	132556	142363
165	4729	3096	95	2345	148894	138648	135080	140857	112563	139436	132686	140680
170	4656	2677	29	2602	146808	135908	134910	139050	112908	137789	132350	138886
175	4585	2274	27	2957	146021	134000	135410	137633	112913	136515	132689	137524
180	4449	1938	94	3110	144779	133119	135052	136572	112214	135056	132496	136700
185	4401	1584	240	3451	146186	131354	135022	134976	111819	134924	132651	135992
190	4058	1262	419	3725	145598	196599	135191	134767	111831	133820	132858	135167
195	3810	977	642	3884	145664	132299	134758	134670	111873	133042	132789	135013
200	3461	824	1005	4040	146166	132076	132517	133646	112294	132289	131615	134482
205	3149	637	1345	4196	146374	132528	132570	134494	111812	133466	131117	135606
210	2915	517	1670	4268	145901	133169	131445	136184	112463	135815	196542	136118
215	2406	495	2029	4237	145452	135905	132528	137350	112137	136861	131912	137303
220	2002	550	2412	4085	146595	137981	131780	138533	112249	138942	131630	138320
225	1720	625	2789	4044	146253	139281	131744	140264	113228	140527	131391	140787
230	1385	781	3298	3806	145664	141532	133573	142582	114949	143358	131338	142056
235	1024	968	3535	3712	146284	143617	132626	144755	114878	145875	132377	144389
240	651	1214	3939	3421	145463	145052	132850	145908	115275	147411	132055	145841
245	471	1477	4107	3137	146398	146924	132510	147755	114455	148192	131423	147316
250	247	1745	4318	2775	146864	147497	132997	148346	114986	150263	132738	148492
255	116	2187	4378	2589	146186	149014	132894	150166	115308	150895	196583	149352
260	44	2546	4436	2251	146535	150062	133851	150050	115376	150576	130505	149864
265	34	2822	4389	1848	146630	149758	133035	150874	115237	150547	132206	148520
270	68	3197	4421	1440	146976	148726	133585	149711	115010	150253	132424	149936
275	233	3497	4203	1163	146225	148601	133440	149694	115082	149872	131434	148897
280	434	3686	3919	929	147447	147558	133234	148019	114929	148854	131178	148165
285	637	4136	3750	684	148083	146711	133349	147707	116149	148184	131478	146680
290	1025	4180	3434	547	149350	146900	134436	147234	116261	147068	131508	145778
295	1428	4439	2929	457	148320	144852	133223	146139	114043	145707	132434	145288
300	1748	4514	2740	435	148376	144150	133955	144879	114690	144962	132251	144787
305	2360	4549	2312	498	148008	143787	133396	144018	114385	144874	132219	144638
310	2784	4669	1932	620	149484	143729	133307	143491	114738	144302	132371	143668
315	3311	4669	1566	742	146540	142428	134156	143760	114464	144357	131913	142919
320	3761	4705	1154	1023	149505	142929	133604	143993	114862	144260	132692	144106
325	4346	4515	877	1366	149085	143636	133319	143596	114958	144758	132291	144779
330	4638	4398	615	1801	148026	144089	133920	143326	114535	145010	132762	145074
335	5278	4073	378	2223	149434	144756	133222	144199	115133	145566	131414	145980
340	5333	3910	203	2550	149277	145827	132882	144602	114894	147242	131614	147435
345	5861	3451	88	3080	149713	147271	131863	145597	115468	148466	132697	148470
350	6018	3271	46	3427	149606	147738	133021	147083	115208	149998	131632	149846
355	6112	3570	46	3720	149645	149166	163728	182713	113353	151077	132440	150170
360	6012	2561	116	4118	148920	149238	133441	149767	114109	151671	132099	151845
