Winkelverstellungnichtschraube(grad), wert1(mV), wert2, Wert3
290, -1.6, -1.61, -1.57
295, -1.2, -1.15, -1.17
300, 0.555, 0.599, 0.548
301, 2.89, 2.85, 2.92
302, 5.79, 5.68, 5.82
303, 10.1,10.0, 9.44
304, 13.7, 13.5, 12.9
305, 14.2, 14.3,14.6
306, 16.4, 17.1, 17.3
307, 16.3,15.7, 15.7
308, 15.2,14.9,15.0
309, 13.2,14.0,13.7
310, 13.5,13.3,13.4
311, 13.4,13.6,13.5
312, 14.0,14.1,14.2
313, 15.1, 15.4, 15.5
314, 14.3, 14.3, 14.4
316, 12.9, 12.8, 12.7
318, 14.4,13.4,13.5
320, 12.3, 12.8, 12.7
322, 10.5, 10.6, 10.7
324, 10.5, 10.5, 10.9
326, 9.94, 8.75, 8.68
327, 8.93, 8.23, 9.42
328, 7.13, 7.34, 7.55
329, 5.2, 5.29, 5.05
330, 4.26, 4.58, 4.77
335, 2.22, 2.41, 2.05
340, -0.331, -0.364, -0.406
345, -1.37, -1.37, -1.33
350, -1.69, -1.72, -1.75
