Model,MSO4104B
Firmware Version,3.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-07
Horizontal Delay,-4.5e-08
Sample Interval,2e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.005
Vertical Position,-3.34
,
,
,
Label,
TIME,CH1
-1.004500e-05,0.0033
-1.004480e-05,0.0031
-1.004460e-05,0.0009
-1.004440e-05,-0.0025
-1.004420e-05,-0.0035
-1.004400e-05,-0.0005
-1.004380e-05,0.0031
-1.004360e-05,0.0043
-1.004340e-05,0.0023
-1.004320e-05,-0.0013
-1.004300e-05,-0.0033
-1.004280e-05,-0.0015
-1.004260e-05,0.0023
-1.004240e-05,0.0041
-1.004220e-05,0.0029
-1.004200e-05,-0.0007
-1.004180e-05,-0.0027
-1.004160e-05,-0.0023
-1.004140e-05,0.0011
-1.004120e-05,0.0033
-1.004100e-05,0.0031
-1.004080e-05,0.0007
-1.004060e-05,-0.0015
-1.004040e-05,-0.0025
-1.004020e-05,-0.0005
-1.004000e-05,0.0015
-1.003980e-05,0.0033
-1.003960e-05,0.0027
-1.003940e-05,0.0001
-1.003920e-05,-0.0021
-1.003900e-05,-0.0025
-1.003880e-05,0.0003
-1.003860e-05,0.0027
-1.003840e-05,0.0035
-1.003820e-05,0.0011
-1.003800e-05,-0.0019
-1.003780e-05,-0.0031
-1.003760e-05,-0.0011
-1.003740e-05,0.0023
-1.003720e-05,0.0039
-1.003700e-05,0.0027
-1.003680e-05,-0.0007
-1.003660e-05,-0.0031
-1.003640e-05,-0.0019
-1.003620e-05,0.0015
-1.003600e-05,0.0035
-1.003580e-05,0.0025
-1.003560e-05,0.0003
-1.003540e-05,-0.0015
-1.003520e-05,-0.0023
-1.003500e-05,0.0003
-1.003480e-05,0.0019
-1.003460e-05,0.0031
-1.003440e-05,0.0017
-1.003420e-05,-0.0009
-1.003400e-05,-0.0015
-1.003380e-05,-0.0017
-1.003360e-05,0.0005
-1.003340e-05,0.0029
-1.003320e-05,0.0033
-1.003300e-05,0.0011
-1.003280e-05,-0.0019
-1.003260e-05,-0.0025
-1.003240e-05,-0.0005
-1.003220e-05,0.0025
-1.003200e-05,0.0041
-1.003180e-05,0.0023
-1.003160e-05,-0.0011
-1.003140e-05,-0.0037
-1.003120e-05,-0.0023
-1.003100e-05,0.0013
-1.003080e-05,0.0037
-1.003060e-05,0.0031
-1.003040e-05,-0.0005
-1.003020e-05,-0.0027
-1.003000e-05,-0.0021
-1.002980e-05,0.0009
-1.002960e-05,0.0033
-1.002940e-05,0.0035
-1.002920e-05,0.0009
-1.002900e-05,-0.0013
-1.002880e-05,-0.0015
-1.002860e-05,-0.0001
-1.002840e-05,0.0017
-1.002820e-05,0.0027
-1.002800e-05,0.0021
-1.002780e-05,-0.0001
-1.002760e-05,-0.0019
-1.002740e-05,-0.0021
-1.002720e-05,-0.0005
-1.002700e-05,0.0025
-1.002680e-05,0.0029
-1.002660e-05,0.0013
-1.002640e-05,-0.0013
-1.002620e-05,-0.0033
-1.002600e-05,-0.0015
-1.002580e-05,0.0019
-1.002560e-05,0.0041
-1.002540e-05,0.0027
-1.002520e-05,-0.0005
-1.002500e-05,-0.0029
-1.002480e-05,-0.0021
-1.002460e-05,0.0015
-1.002440e-05,0.0039
-1.002420e-05,0.0029
-1.002400e-05,0.0003
-1.002380e-05,-0.0019
-1.002360e-05,-0.0015
-1.002340e-05,0.0007
-1.002320e-05,0.0023
-1.002300e-05,0.0025
-1.002280e-05,0.0011
-1.002260e-05,-0.0003
-1.002240e-05,-0.0015
-1.002220e-05,-0.0007
-1.002200e-05,0.0013
-1.002180e-05,0.0023
-1.002160e-05,0.0021
-1.002140e-05,0.0005
-1.002120e-05,-0.0015
-1.002100e-05,-0.0021
-1.002080e-05,-0.0005
-1.002060e-05,0.0021
-1.002040e-05,0.0033
-1.002020e-05,0.0017
-1.002000e-05,-0.0011
-1.001980e-05,-0.0021
-1.001960e-05,-0.0011
-1.001940e-05,0.0017
-1.001920e-05,0.0029
-1.001900e-05,0.0019
-1.001880e-05,-0.0005
-1.001860e-05,-0.0017
-1.001840e-05,-0.0009
-1.001820e-05,0.0015
-1.001800e-05,0.0027
-1.001780e-05,0.0017
-1.001760e-05,0.0001
-1.001740e-05,-0.0007
-1.001720e-05,-0.0009
-1.001700e-05,0.0005
-1.001680e-05,0.0007
-1.001660e-05,0.0013
-1.001640e-05,0.0011
-1.001620e-05,0.0003
-1.001600e-05,-0.0003
-1.001580e-05,-0.0003
-1.001560e-05,0.0007
-1.001540e-05,0.0015
-1.001520e-05,0.0019
-1.001500e-05,0.0013
-1.001480e-05,-0.0003
-1.001460e-05,-0.0011
-1.001440e-05,-0.0009
-1.001420e-05,0.0009
-1.001400e-05,0.0017
-1.001380e-05,0.0011
-1.001360e-05,-0.0001
-1.001340e-05,-0.0009
-1.001320e-05,-0.0007
-1.001300e-05,0.0011
-1.001280e-05,0.0019
-1.001260e-05,0.0017
-1.001240e-05,0.0003
-1.001220e-05,-0.0001
-1.001200e-05,0.0001
-1.001180e-05,0.0007
-1.001160e-05,0.0007
-1.001140e-05,0.0007
-1.001120e-05,0.0005
-1.001100e-05,0.0003
-1.001080e-05,0.0001
-1.001060e-05,0.0003
-1.001040e-05,-0.0001
-1.001020e-05,0.0007
-1.001000e-05,0.0011
-1.000980e-05,0.0015
-1.000960e-05,0.0009
-1.000940e-05,0.0001
-1.000920e-05,-0.0001
-1.000900e-05,0.0001
-1.000880e-05,0.0011
-1.000860e-05,0.0015
-1.000840e-05,0.0007
-1.000820e-05,-0.0001
-1.000800e-05,-0.0005
-1.000780e-05,0.0009
-1.000760e-05,0.0013
-1.000740e-05,0.0015
-1.000720e-05,0.0009
-1.000700e-05,0.0003
-1.000680e-05,-0.0001
-1.000660e-05,-0.0005
-1.000640e-05,0.0003
-1.000620e-05,0.0011
-1.000600e-05,0.0009
-1.000580e-05,0.0007
-1.000560e-05,0.0003
-1.000540e-05,-0.0001
-1.000520e-05,-0.0003
-1.000500e-05,0.0007
-1.000480e-05,0.0009
-1.000460e-05,0.0021
-1.000440e-05,0.0013
-1.000420e-05,0.0001
-1.000400e-05,-0.0007
-1.000380e-05,-0.0005
-1.000360e-05,0.0009
-1.000340e-05,0.0019
-1.000320e-05,0.0013
-1.000300e-05,0.0003
-1.000280e-05,-0.0009
-1.000260e-05,-0.0007
-1.000240e-05,0.0005
-1.000220e-05,0.0017
-1.000200e-05,0.0021
-1.000180e-05,0.0007
-1.000160e-05,-0.0011
-1.000140e-05,-0.0011
-1.000120e-05,0.0003
-1.000100e-05,0.0013
-1.000080e-05,0.0013
-1.000060e-05,0.0005
-1.000040e-05,-0.0005
-1.000020e-05,-0.0005
-1.000000e-05,-0.0003
-9.999800e-06,0.0009
-9.999600e-06,0.0019
-9.999400e-06,0.0019
-9.999200e-06,0.0007
-9.999000e-06,-0.0005
-9.998800e-06,-0.0011
-9.998600e-06,-0.0003
-9.998400e-06,0.0019
-9.998200e-06,0.0031
-9.998000e-06,0.0017
-9.997800e-06,-0.0009
-9.997600e-06,-0.0017
-9.997400e-06,-0.0003
-9.997200e-06,0.0011
-9.997000e-06,0.0027
-9.996800e-06,0.0023
-9.996600e-06,-0.0003
-9.996400e-06,-0.0015
-9.996200e-06,-0.0007
-9.996000e-06,0.0009
-9.995800e-06,0.0023
-9.995600e-06,0.0017
-9.995400e-06,0.0003
-9.995200e-06,-0.0013
-9.995000e-06,-0.0011
-9.994800e-06,0.0001
-9.994600e-06,0.0019
-9.994400e-06,0.0025
-9.994200e-06,0.0011
-9.994000e-06,-0.0007
-9.993800e-06,-0.0017
-9.993600e-06,-0.0009
-9.993400e-06,0.0011
-9.993200e-06,0.0021
-9.993000e-06,0.0021
-9.992800e-06,-0.0001
-9.992600e-06,-0.0011
-9.992400e-06,-0.0009
-9.992200e-06,0.0003
-9.992000e-06,0.0021
-9.991800e-06,0.0029
-9.991600e-06,0.0011
-9.991400e-06,-0.0009
-9.991200e-06,-0.0019
-9.991000e-06,-0.0007
-9.990800e-06,0.0011
-9.990600e-06,0.0029
-9.990400e-06,0.0019
-9.990200e-06,-0.0005
-9.990000e-06,-0.0021
-9.989800e-06,-0.0003
-9.989600e-06,0.0017
-9.989400e-06,0.0035
-9.989200e-06,0.0023
-9.989000e-06,0.0003
-9.988800e-06,-0.0015
-9.988600e-06,-0.0013
-9.988400e-06,0.0005
-9.988200e-06,0.0019
-9.988000e-06,0.0021
-9.987800e-06,0.0013
-9.987600e-06,-0.0009
-9.987400e-06,-0.0011
-9.987200e-06,-0.0005
-9.987000e-06,0.0017
-9.986800e-06,0.0021
-9.986600e-06,0.0023
-9.986400e-06,0.0001
-9.986200e-06,-0.0015
-9.986000e-06,-0.0011
-9.985800e-06,0.0003
-9.985600e-06,0.0021
-9.985400e-06,0.0025
-9.985200e-06,0.0007
-9.985000e-06,-0.0007
-9.984800e-06,-0.0017
-9.984600e-06,-0.0001
-9.984400e-06,0.0023
-9.984200e-06,0.0027
-9.984000e-06,0.0015
-9.983800e-06,-0.0007
-9.983600e-06,-0.0021
-9.983400e-06,-0.0005
-9.983200e-06,0.0015
-9.983000e-06,0.0027
-9.982800e-06,0.0023
-9.982600e-06,0.0001
-9.982400e-06,-0.0019
-9.982200e-06,-0.0009
-9.982000e-06,0.0009
-9.981800e-06,0.0021
-9.981600e-06,0.0013
-9.981400e-06,0.0007
-9.981200e-06,-0.0011
-9.981000e-06,-0.0013
-9.980800e-06,-0.0003
-9.980600e-06,0.0017
-9.980400e-06,0.0021
-9.980200e-06,0.0015
-9.980000e-06,-0.0001
-9.979800e-06,-0.0007
-9.979600e-06,-0.0003
-9.979400e-06,0.0011
-9.979200e-06,0.0023
-9.979000e-06,0.0021
-9.978800e-06,0.0003
-9.978600e-06,-0.0003
-9.978400e-06,-0.0011
-9.978200e-06,0.0003
-9.978000e-06,0.0019
-9.977800e-06,0.0023
-9.977600e-06,0.0005
-9.977400e-06,-0.0009
-9.977200e-06,-0.0013
-9.977000e-06,-0.0001
-9.976800e-06,0.0017
-9.976600e-06,0.0021
-9.976400e-06,0.0013
-9.976200e-06,-0.0003
-9.976000e-06,-0.0013
-9.975800e-06,-0.0009
-9.975600e-06,0.0009
-9.975400e-06,0.0017
-9.975200e-06,0.0013
-9.975000e-06,0.0005
-9.974800e-06,-0.0007
-9.974600e-06,-0.0003
-9.974400e-06,0.0009
-9.974200e-06,0.0017
-9.974000e-06,0.0015
-9.973800e-06,0.0005
-9.973600e-06,0.0001
-9.973400e-06,-0.0003
-9.973200e-06,0.0001
-9.973000e-06,0.0007
-9.972800e-06,0.0009
-9.972600e-06,0.0009
-9.972400e-06,0.0005
-9.972200e-06,-0.0005
-9.972000e-06,-0.0005
-9.971800e-06,0.0007
-9.971600e-06,0.0017
-9.971400e-06,0.0011
-9.971200e-06,0.0003
-9.971000e-06,-0.0003
-9.970800e-06,-0.0011
-9.970600e-06,-0.0003
-9.970400e-06,0.0007
-9.970200e-06,0.0017
-9.970000e-06,0.0007
-9.969800e-06,0.0001
-9.969600e-06,-0.0005
-9.969400e-06,0.0003
-9.969200e-06,0.0009
-9.969000e-06,0.0013
-9.968800e-06,0.0011
-9.968600e-06,0.0003
-9.968400e-06,-0.0003
-9.968200e-06,0.0001
-9.968000e-06,0.0005
-9.967800e-06,0.0015
-9.967600e-06,0.0011
-9.967400e-06,0.0003
-9.967200e-06,0.0001
-9.967000e-06,0.0005
-9.966800e-06,0.0007
-9.966600e-06,0.0005
-9.966400e-06,0.0003
-9.966200e-06,0.0007
-9.966000e-06,0.0007
-9.965800e-06,0.0007
-9.965600e-06,-0.0003
-9.965400e-06,-0.0005
-9.965200e-06,0.0005
-9.965000e-06,0.0011
-9.964800e-06,0.0013
-9.964600e-06,0.0009
-9.964400e-06,0.0001
-9.964200e-06,-0.0001
-9.964000e-06,0.0007
-9.963800e-06,0.0011
-9.963600e-06,0.0005
-9.963400e-06,0.0001
-9.963200e-06,0.0003
-9.963000e-06,0.0007
-9.962800e-06,-0.0001
-9.962600e-06,0.0003
-9.962400e-06,0.0011
-9.962200e-06,0.0005
-9.962000e-06,-0.0001
-9.961800e-06,0.0007
-9.961600e-06,0.0005
-9.961400e-06,0.0001
-9.961200e-06,-0.0003
-9.961000e-06,0.0003
-9.960800e-06,0.0009
-9.960600e-06,0.0007
-9.960400e-06,-0.0005
-9.960200e-06,-0.0001
-9.960000e-06,-0.0005
-9.959800e-06,0.0003
-9.959600e-06,0.0009
-9.959400e-06,0.0009
-9.959200e-06,0.0005
-9.959000e-06,-0.0003
-9.958800e-06,-0.0003
-9.958600e-06,0.0003
-9.958400e-06,0.0011
-9.958200e-06,0.0013
-9.958000e-06,0.0005
-9.957800e-06,-0.0005
-9.957600e-06,-0.0007
-9.957400e-06,0.0005
-9.957200e-06,0.0009
-9.957000e-06,0.0015
-9.956800e-06,0.0007
-9.956600e-06,0.0001
-9.956400e-06,-0.0003
-9.956200e-06,-0.0003
-9.956000e-06,0.0005
-9.955800e-06,0.0013
-9.955600e-06,0.0007
-9.955400e-06,0.0001
-9.955200e-06,-0.0007
-9.955000e-06,-0.0001
-9.954800e-06,0.0007
-9.954600e-06,0.0017
-9.954400e-06,0.0017
-9.954200e-06,0.0005
-9.954000e-06,-0.0003
-9.953800e-06,-0.0005
-9.953600e-06,-0.0003
-9.953400e-06,0.0005
-9.953200e-06,0.0017
-9.953000e-06,0.0015
-9.952800e-06,0.0001
-9.952600e-06,-0.0005
-9.952400e-06,-0.0013
-9.952200e-06,0.0009
-9.952000e-06,0.0019
-9.951800e-06,0.0017
-9.951600e-06,0.0009
-9.951400e-06,-0.0005
-9.951200e-06,-0.0009
-9.951000e-06,0.0003
-9.950800e-06,0.0015
-9.950600e-06,0.0015
-9.950400e-06,0.0005
-9.950200e-06,-0.0003
-9.950000e-06,-0.0013
-9.949800e-06,-0.0003
-9.949600e-06,0.0011
-9.949400e-06,0.0017
-9.949200e-06,0.0011
-9.949000e-06,0.0003
-9.948800e-06,0.0003
-9.948600e-06,0.0001
-9.948400e-06,0.0009
-9.948200e-06,0.0011
-9.948000e-06,0.0009
-9.947800e-06,0.0009
-9.947600e-06,-0.0003
-9.947400e-06,-0.0009
-9.947200e-06,-0.0005
-9.947000e-06,0.0009
-9.946800e-06,0.0019
-9.946600e-06,0.0015
-9.946400e-06,0.0001
-9.946200e-06,-0.0009
-9.946000e-06,-0.0005
-9.945800e-06,0.0013
-9.945600e-06,0.0023
-9.945400e-06,0.0009
-9.945200e-06,-0.0005
-9.945000e-06,-0.0011
-9.944800e-06,-0.0011
-9.944600e-06,0.0013
-9.944400e-06,0.0025
-9.944200e-06,0.0013
-9.944000e-06,0.0005
-9.943800e-06,-0.0005
-9.943600e-06,-0.0007
-9.943400e-06,0.0007
-9.943200e-06,0.0019
-9.943000e-06,0.0017
-9.942800e-06,0.0005
-9.942600e-06,-0.0009
-9.942400e-06,-0.0003
-9.942200e-06,0.0003
-9.942000e-06,0.0007
-9.941800e-06,0.0013
-9.941600e-06,0.0013
-9.941400e-06,-0.0001
-9.941200e-06,-0.0011
-9.941000e-06,-0.0007
-9.940800e-06,0.0007
-9.940600e-06,0.0017
-9.940400e-06,0.0013
-9.940200e-06,-0.0001
