Model,MSO4104B
Firmware Version,3.20

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-08,
Horizontal Delay,-1.2e-09,
Sample Interval,2e-10,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.01,0.01
Vertical Position,-0.04,-3.04
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.000120e-05,0.0004,-0.0008
-1.000100e-05,0,0.0004
-1.000080e-05,0.0008,0.0008
-1.000060e-05,0.0016,0
-1.000040e-05,0.0004,-0.0004
-1.000020e-05,-0.0004,-0.0012
-1.000000e-05,-0.0012,-0.0004
-9.999800e-06,-0.0004,0.0004
-9.999600e-06,0.0008,0.0016
-9.999400e-06,0.0012,0.0008
-9.999200e-06,0.0004,0.0008
-9.999000e-06,0,0
-9.998800e-06,-0.0008,-0.0004
-9.998600e-06,0.0004,0
-9.998400e-06,0.0012,0.0008
-9.998200e-06,0.0004,0.0008
-9.998000e-06,-0.0008,0.0008
-9.997800e-06,-0.0012,0
-9.997600e-06,-0.002,0
-9.997400e-06,-0.0004,0.0004
-9.997200e-06,0.0012,0.0008
-9.997000e-06,0.0004,0.0012
-9.996800e-06,0,0.002
-9.996600e-06,0,0
-9.996400e-06,0.0008,-0.0004
-9.996200e-06,0.0004,-0.0008
-9.996000e-06,0.0008,-0.0004
-9.995800e-06,0.0004,0.0008
-9.995600e-06,0.0004,0.0012
-9.995400e-06,0,0
-9.995200e-06,0.0004,-0.0004
-9.995000e-06,0,-0.0012
-9.994800e-06,-0.0004,-0.0004
-9.994600e-06,-0.0004,0.0012
-9.994400e-06,0.0004,0.002
-9.994200e-06,0.0004,0.0004
-9.994000e-06,0.0004,-0.0008
-9.993800e-06,0,-0.0008
-9.993600e-06,-0.0004,0.0008
-9.993400e-06,0.0004,0.0008
-9.993200e-06,0.0008,0.0012
-9.993000e-06,0.0004,0
-9.992800e-06,-0.0004,-0.0008
-9.992600e-06,-0.0016,-0.0012
-9.992400e-06,-0.0004,0.0004
-9.992200e-06,0,0.0012
-9.992000e-06,0.0004,0.0008
-9.991800e-06,0,0.0004
-9.991600e-06,0,0.0004
-9.991400e-06,-0.0004,-0.0004
-9.991200e-06,0.0012,0.0008
-9.991000e-06,0.0012,0.0004
-9.990800e-06,0.002,0
-9.990600e-06,0.0004,0
-9.990400e-06,-0.0012,0
-9.990200e-06,-0.0004,-0.0008
-9.990000e-06,0.0004,-0.0004
-9.989800e-06,0,0.0004
-9.989600e-06,0,0.0008
-9.989400e-06,-0.0008,0.0016
-9.989200e-06,-0.0004,0.0004
-9.989000e-06,0,-0.0004
-9.988800e-06,0.0008,0
-9.988600e-06,0.0004,-0.0004
-9.988400e-06,0.0016,0.0004
-9.988200e-06,0.0004,0.0008
-9.988000e-06,-0.0004,0.0008
-9.987800e-06,-0.0004,-0.0004
-9.987600e-06,-0.0016,0
-9.987400e-06,0,0
-9.987200e-06,0.0008,0.002
-9.987000e-06,0,0.002
-9.986800e-06,0.0004,0.0012
-9.986600e-06,0,-0.0004
-9.986400e-06,0,-0.0008
-9.986200e-06,0.0004,0.0008
