Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0004
Sample Interval,3.2e-06
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH1
-2.736e-03,0.02
-2.733e-03,0.0200781
-2.730e-03,0.02
-2.726e-03,0.0200781
-2.723e-03,0.02
-2.720e-03,0.02
-2.717e-03,0.02
-2.714e-03,0.02
-2.710e-03,0.02
-2.707e-03,0.02
-2.704e-03,0.02
-2.701e-03,0.0200781
-2.698e-03,0.02
-2.694e-03,0.02
-2.691e-03,0.0200781
-2.688e-03,0.02
-2.685e-03,0.02
-2.682e-03,0.02
-2.678e-03,0.02
-2.675e-03,0.02
-2.672e-03,0.02
-2.669e-03,0.02
-2.666e-03,0.0199219
-2.662e-03,0.02
-2.659e-03,0.02
-2.656e-03,0.02
-2.653e-03,0.0200781
-2.650e-03,0.0200781
-2.646e-03,0.02
-2.643e-03,0.02
-2.640e-03,0.02
-2.637e-03,0.02
-2.634e-03,0.02
-2.630e-03,0.0200781
-2.627e-03,0.02
-2.624e-03,0.02
-2.621e-03,0.02
-2.618e-03,0.02
-2.614e-03,0.0200781
-2.611e-03,0.02
-2.608e-03,0.02
-2.605e-03,0.02
-2.602e-03,0.02
-2.598e-03,0.02
-2.595e-03,0.02
-2.592e-03,0.02
-2.589e-03,0.0200781
-2.586e-03,0.0200781
-2.582e-03,0.0200781
-2.579e-03,0.0200781
-2.576e-03,0.02
-2.573e-03,0.0200781
-2.570e-03,0.0388281
-2.566e-03,0.0400781
-2.563e-03,0.0599219
-2.560e-03,0.0921875
-2.557e-03,0.145
-2.554e-03,0.219844
-2.550e-03,0.290937
-2.547e-03,0.339297
-2.544e-03,0.346875
-2.541e-03,0.320703
-2.538e-03,0.260234
-2.534e-03,0.194922
-2.531e-03,0.140234
-2.528e-03,0.100156
-2.525e-03,0.08
-2.522e-03,0.0600781
-2.518e-03,0.0510937
-2.515e-03,0.0400781
-2.512e-03,0.04
-2.509e-03,0.04
-2.506e-03,0.0367187
-2.502e-03,0.0358594
-2.499e-03,0.0296875
-2.496e-03,0.0250781
-2.493e-03,0.0245312
-2.490e-03,0.0209375
-2.486e-03,0.0200781
-2.483e-03,0.0200781
-2.480e-03,0.0200781
-2.477e-03,0.02
-2.474e-03,0.0200781
-2.470e-03,0.0200781
-2.467e-03,0.0200781
-2.464e-03,0.0200781
-2.461e-03,0.02
-2.458e-03,0.0200781
-2.454e-03,0.02
-2.451e-03,0.02
-2.448e-03,0.0200781
-2.445e-03,0.0200781
-2.442e-03,0.02
-2.438e-03,0.0200781
-2.435e-03,0.02
-2.432e-03,0.0200781
-2.429e-03,0.02
-2.426e-03,0.02
-2.422e-03,0.02
-2.419e-03,0.02
-2.416e-03,0.02
-2.413e-03,0.02
-2.410e-03,0.02
-2.406e-03,0.0200781
-2.403e-03,0.02
-2.400e-03,0.02
-2.397e-03,0.02
-2.394e-03,0.02
-2.390e-03,0.02
-2.387e-03,0.0200781
-2.384e-03,0.02
-2.381e-03,0.02
-2.378e-03,0.0200781
-2.374e-03,0.02
-2.371e-03,0.02
-2.368e-03,0.0200781
-2.365e-03,0.02
-2.362e-03,0.02
-2.358e-03,0.02
-2.355e-03,0.02
-2.352e-03,0.02
-2.349e-03,0.02
-2.346e-03,0.02
-2.342e-03,0.0200781
-2.339e-03,0.02
-2.336e-03,0.02
-2.333e-03,0.02
-2.330e-03,0.02
-2.326e-03,0.02
-2.323e-03,0.02
-2.320e-03,0.0200781
-2.317e-03,0.02
-2.314e-03,0.02
-2.310e-03,0.02
-2.307e-03,0.0199219
-2.304e-03,0.02
-2.301e-03,0.02
-2.298e-03,0.02
-2.294e-03,0.0200781
-2.291e-03,0.02
-2.288e-03,0.0200781
-2.285e-03,0.02
-2.282e-03,0.0200781
-2.278e-03,0.02
-2.275e-03,0.02
-2.272e-03,0.0200781
-2.269e-03,0.02
-2.266e-03,0.0200781
-2.262e-03,0.0200781
-2.259e-03,0.02
-2.256e-03,0.0199219
-2.253e-03,0.02
-2.250e-03,0.02
-2.246e-03,0.02
-2.243e-03,0.02
-2.240e-03,0.0200781
-2.237e-03,0.02
-2.234e-03,0.02
-2.230e-03,0.02
-2.227e-03,0.02
-2.224e-03,0.02
-2.221e-03,0.0200781
-2.218e-03,0.02
-2.214e-03,0.02
-2.211e-03,0.02
-2.208e-03,0.02
-2.205e-03,0.02
-2.202e-03,0.02
-2.198e-03,0.0200781
-2.195e-03,0.0200781
-2.192e-03,0.0200781
-2.189e-03,0.0200781
-2.186e-03,0.0200781
-2.182e-03,0.0200781
-2.179e-03,0.0200781
-2.176e-03,0.0200781
-2.173e-03,0.0200781
-2.170e-03,0.0242187
-2.166e-03,0.0283594
-2.163e-03,0.0334375
-2.160e-03,0.0357031
-2.157e-03,0.04
-2.154e-03,0.0400781
-2.150e-03,0.0405469
-2.147e-03,0.0604687
-2.144e-03,0.0823437
-2.141e-03,0.12125
-2.138e-03,0.186719
-2.134e-03,0.269062
-2.131e-03,0.323672
-2.128e-03,0.339453
-2.125e-03,0.305234
-2.122e-03,0.236172
-2.118e-03,0.161562
-2.115e-03,0.109687
-2.112e-03,0.0757812
-2.109e-03,0.0578125
-2.106e-03,0.0399219
-2.102e-03,0.030625
-2.099e-03,0.02
-2.096e-03,0.02
-2.093e-03,0.02
-2.090e-03,0.0200781
-2.086e-03,0.02
-2.083e-03,0.02
-2.080e-03,0.02
-2.077e-03,0.0200781
-2.074e-03,0.02
-2.070e-03,0.02
-2.067e-03,0.02
-2.064e-03,0.0200781
-2.061e-03,0.02
-2.058e-03,0.02
-2.054e-03,0.02
-2.051e-03,0.02
-2.048e-03,0.02
-2.045e-03,0.0200781
-2.042e-03,0.02
-2.038e-03,0.02
-2.035e-03,0.02
-2.032e-03,0.0200781
-2.029e-03,0.02
-2.026e-03,0.0200781
-2.022e-03,0.0200781
-2.019e-03,0.02
-2.016e-03,0.02
-2.013e-03,0.02
-2.010e-03,0.02
-2.006e-03,0.0199219
-2.003e-03,0.02
-2.000e-03,0.02
-1.997e-03,0.02
-1.994e-03,0.02
-1.990e-03,0.02
-1.987e-03,0.02
-1.984e-03,0.02
-1.981e-03,0.02
-1.978e-03,0.02
-1.974e-03,0.02
-1.971e-03,0.02
-1.968e-03,0.02
-1.965e-03,0.02
-1.962e-03,0.02
-1.958e-03,0.0199219
-1.955e-03,0.02
-1.952e-03,0.02
-1.949e-03,0.02
-1.946e-03,0.02
-1.942e-03,0.0200781
-1.939e-03,0.02
-1.936e-03,0.02
-1.933e-03,0.02
-1.930e-03,0.0199219
-1.926e-03,0.02
-1.923e-03,0.02
-1.920e-03,0.0200781
-1.917e-03,0.02
-1.914e-03,0.0199219
-1.910e-03,0.02
-1.907e-03,0.02
-1.904e-03,0.02
-1.901e-03,0.02
-1.898e-03,0.02
-1.894e-03,0.02
-1.891e-03,0.02
-1.888e-03,0.02
-1.885e-03,0.02
-1.882e-03,0.02
-1.878e-03,0.02
-1.875e-03,0.02
-1.872e-03,0.02
-1.869e-03,0.0199219
