Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.0004,,,Horizontal Scale,0.0002
Sample Interval,3.2e-06,,,Sample Interval,1.6e-06
Filter Frequency,2e+08,,,Filter Frequency,2e+08
Record Length,2000,,,Record Length,2000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,10,10,,Probe Attenuation,10
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,20,0.01,,Vertical Scale,0.01
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-2.736e-03,14,0.0398,,-6.640e-04,0.0398
-2.733e-03,14.0031,0.0398,,-6.624e-04,0.0398
-2.730e-03,14,0.0398,,-6.608e-04,0.0398
-2.726e-03,14.0031,0.0398,,-6.592e-04,0.0398
-2.723e-03,14,0.0398,,-6.576e-04,0.0398
-2.720e-03,14,0.0398,,-6.560e-04,0.0398
-2.717e-03,14,0.0398,,-6.544e-04,0.0398
-2.714e-03,14,0.0398,,-6.528e-04,0.0398
-2.710e-03,14,0.0398,,-6.512e-04,0.0398
-2.707e-03,14,0.0398,,-6.496e-04,0.0398
-2.704e-03,14,0.0398,,-6.480e-04,0.0398
-2.701e-03,14.0031,0.0398,,-6.464e-04,0.0398
-2.698e-03,14,0.0398,,-6.448e-04,0.0398
-2.694e-03,14,0.0398,,-6.432e-04,0.0398
-2.691e-03,14.0031,0.0398,,-6.416e-04,0.0398
-2.688e-03,14,0.0398,,-6.400e-04,0.0398
-2.685e-03,14,0.0398,,-6.384e-04,0.0398
-2.682e-03,14,0.0398,,-6.368e-04,0.0398
-2.678e-03,14,0.0398,,-6.352e-04,0.0398
-2.675e-03,14,0.0398,,-6.336e-04,0.0398
-2.672e-03,14,0.0398,,-6.320e-04,0.0398
-2.669e-03,14,0.0398,,-6.304e-04,0.0398
-2.666e-03,13.9969,0.0398,,-6.288e-04,0.0398
-2.662e-03,14,0.0398,,-6.272e-04,0.0398
-2.659e-03,14,0.0398,,-6.256e-04,0.0398
-2.656e-03,14,0.0398,,-6.240e-04,0.0398
-2.653e-03,14.0031,0.0398,,-6.224e-04,0.0398
-2.650e-03,14.0031,0.0398,,-6.208e-04,0.0398
-2.646e-03,14,0.0398,,-6.192e-04,0.0398
-2.643e-03,14,0.0398,,-6.176e-04,0.0398
-2.640e-03,14,0.0398,,-6.160e-04,0.0398
-2.637e-03,14,0.0398,,-6.144e-04,0.0398
-2.634e-03,14,0.0398,,-6.128e-04,0.0398
-2.630e-03,14.0031,0.0398,,-6.112e-04,0.0398
-2.627e-03,14,0.0398,,-6.096e-04,0.0398
-2.624e-03,14,0.0398,,-6.080e-04,0.0398
-2.621e-03,14,0.0398,,-6.064e-04,0.0398
-2.618e-03,14,0.0398,,-6.048e-04,0.0398
-2.614e-03,14.0031,0.0398,,-6.032e-04,0.0398
-2.611e-03,14,0.0398,,-6.016e-04,0.0398
-2.608e-03,14,0.0398,,-6.000e-04,0.0398
-2.605e-03,14,0.0398,,-5.984e-04,0.0398
-2.602e-03,14,0.0398,,-5.968e-04,0.0398
-2.598e-03,14,0.0398,,-5.952e-04,0.0398
-2.595e-03,14,0.0398,,-5.936e-04,0.0398
-2.592e-03,14,0.0398,,-5.920e-04,0.0398
-2.589e-03,14.0031,0.0398,,-5.904e-04,0.0398
-2.586e-03,14.0031,0.0398,,-5.888e-04,0.0398
-2.582e-03,14.0031,0.0398,,-5.872e-04,0.0398
-2.579e-03,14.0031,0.0398,,-5.856e-04,0.0398
-2.576e-03,14,0.0398,,-5.840e-04,0.0398
-2.573e-03,14.0031,0.0398,,-5.824e-04,0.0398
-2.570e-03,14.7531,0.0398,,-5.808e-04,0.0398
-2.566e-03,14.8031,0.0398,,-5.792e-04,0.0398
-2.563e-03,15.5969,0.0398,,-5.776e-04,0.0398
-2.560e-03,16.8875,0.0398,,-5.760e-04,0.0398
-2.557e-03,19,0.0398,,-5.744e-04,0.0398
-2.554e-03,21.9937,0.0398,,-5.728e-04,0.0398
-2.550e-03,24.8375,0.0398,,-5.712e-04,0.0398
-2.547e-03,26.7719,0.0398,,-5.696e-04,0.0398
-2.544e-03,27.075,0.0398,,-5.680e-04,0.0398
-2.541e-03,26.0281,0.0398,,-5.664e-04,0.0398
-2.538e-03,23.6094,0.0398,,-5.648e-04,0.0398
-2.534e-03,20.9969,0.0398,,-5.632e-04,0.0398
-2.531e-03,18.8094,0.0398,,-5.616e-04,0.0398
-2.528e-03,17.2062,0.0398,,-5.600e-04,0.0398
-2.525e-03,16.4,0.0398,,-5.584e-04,0.0398
-2.522e-03,15.6031,0.0398,,-5.568e-04,0.0398
-2.518e-03,15.2437,0.0398,,-5.552e-04,0.0398
-2.515e-03,14.8031,0.0398,,-5.536e-04,0.0398
-2.512e-03,14.8,0.0398,,-5.520e-04,0.0398
-2.509e-03,14.8,0.0398,,-5.504e-04,0.0398
-2.506e-03,14.6687,0.0398,,-5.488e-04,0.0398
-2.502e-03,14.6344,0.0398,,-5.472e-04,0.0398
-2.499e-03,14.3875,0.0398,,-5.456e-04,0.0398
-2.496e-03,14.2031,0.0398,,-5.440e-04,0.0398
-2.493e-03,14.1812,0.0398,,-5.424e-04,0.0398
-2.490e-03,14.0375,0.0398,,-5.408e-04,0.0398
-2.486e-03,14.0031,0.0398,,-5.392e-04,0.0398
-2.483e-03,14.0031,0.0398,,-5.376e-04,0.0398
-2.480e-03,14.0031,0.0398,,-5.360e-04,0.0398
-2.477e-03,14,0.0398,,-5.344e-04,0.0398
-2.474e-03,14.0031,0.0398,,-5.328e-04,0.0398
-2.470e-03,14.0031,0.0398,,-5.312e-04,0.0398
-2.467e-03,14.0031,0.0398,,-5.296e-04,0.0398
-2.464e-03,14.0031,0.0398,,-5.280e-04,0.0398
-2.461e-03,14,0.0398,,-5.264e-04,0.0398
-2.458e-03,14.0031,0.0398,,-5.248e-04,0.0398
-2.454e-03,14,0.0398,,-5.232e-04,0.0398
-2.451e-03,14,0.0398,,-5.216e-04,0.0398
-2.448e-03,14.0031,0.0398,,-5.200e-04,0.0398
-2.445e-03,14.0031,0.0398,,-5.184e-04,0.0398
-2.442e-03,14,0.0398,,-5.168e-04,0.0398
-2.438e-03,14.0031,0.0398,,-5.152e-04,0.0398
-2.435e-03,14,0.0398,,-5.136e-04,0.0398
-2.432e-03,14.0031,0.0398,,-5.120e-04,0.0398
-2.429e-03,14,0.0398,,-5.104e-04,0.0398
-2.426e-03,14,0.0398,,-5.088e-04,0.0398
-2.422e-03,14,0.0398,,-5.072e-04,0.0398
-2.419e-03,14,0.0398,,-5.056e-04,0.0398
-2.416e-03,14,0.0398,,-5.040e-04,0.0398
-2.413e-03,14,0.0398,,-5.024e-04,0.0398
-2.410e-03,14,0.0398,,-5.008e-04,0.0398
-2.406e-03,14.0031,0.0398,,-4.992e-04,0.0398
-2.403e-03,14,0.0398,,-4.976e-04,0.0398
-2.400e-03,14,0.0398,,-4.960e-04,0.0398
-2.397e-03,14,0.0398,,-4.944e-04,0.0398
-2.394e-03,14,0.0398,,-4.928e-04,0.0398
-2.390e-03,14,0.0398,,-4.912e-04,0.0398
-2.387e-03,14.0031,0.0398,,-4.896e-04,0.0398
-2.384e-03,14,0.0398,,-4.880e-04,0.0398
-2.381e-03,14,0.0398,,-4.864e-04,0.0398
-2.378e-03,14.0031,0.0398,,-4.848e-04,0.0398
-2.374e-03,14,0.0398,,-4.832e-04,0.0398
-2.371e-03,14,0.0398,,-4.816e-04,0.0398
-2.368e-03,14.0031,0.0398,,-4.800e-04,0.0398
-2.365e-03,14,0.0398,,-4.784e-04,0.0398
-2.362e-03,14,0.0398,,-4.768e-04,0.0398
-2.358e-03,14,0.0398,,-4.752e-04,0.0398
-2.355e-03,14,0.0398,,-4.736e-04,0.0398
-2.352e-03,14,0.0398,,-4.720e-04,0.0398
-2.349e-03,14,0.0398,,-4.704e-04,0.0398
-2.346e-03,14,0.0398,,-4.688e-04,0.0398
-2.342e-03,14.0031,0.0398,,-4.672e-04,0.0398
-2.339e-03,14,0.0398,,-4.656e-04,0.0398
-2.336e-03,14,0.0398,,-4.640e-04,0.0398
-2.333e-03,14,0.0398,,-4.624e-04,0.0398
-2.330e-03,14,0.0398,,-4.608e-04,0.0398
-2.326e-03,14,0.0398,,-4.592e-04,0.0398
-2.323e-03,14,0.0398,,-4.576e-04,0.0398
-2.320e-03,14.0031,0.0398,,-4.560e-04,0.0398
-2.317e-03,14,0.0398,,-4.544e-04,0.0398
-2.314e-03,14,0.0398,,-4.528e-04,0.0398
-2.310e-03,14,0.0398,,-4.512e-04,0.0398
-2.307e-03,13.9969,0.0398,,-4.496e-04,0.0398
-2.304e-03,14,0.0398,,-4.480e-04,0.0398
-2.301e-03,14,0.0398,,-4.464e-04,0.0398
-2.298e-03,14,0.0398,,-4.448e-04,0.0398
-2.294e-03,14.0031,0.0398,,-4.432e-04,0.0398
-2.291e-03,14,0.0398,,-4.416e-04,0.0398
-2.288e-03,14.0031,0.0398,,-4.400e-04,0.0398
-2.285e-03,14,0.0398,,-4.384e-04,0.0398
-2.282e-03,14.0031,0.0398,,-4.368e-04,0.0398
-2.278e-03,14,0.0398,,-4.352e-04,0.0398
-2.275e-03,14,0.0398,,-4.336e-04,0.0398
-2.272e-03,14.0031,0.0398,,-4.320e-04,0.0398
-2.269e-03,14,0.0398,,-4.304e-04,0.0398
-2.266e-03,14.0031,0.0398,,-4.288e-04,0.0398
-2.262e-03,14.0031,0.0398,,-4.272e-04,0.0398
-2.259e-03,14,0.0398,,-4.256e-04,0.0398
-2.256e-03,13.9969,0.0398,,-4.240e-04,0.0398
-2.253e-03,14,0.0398,,-4.224e-04,0.0398
-2.250e-03,14,0.0398,,-4.208e-04,0.0398
-2.246e-03,14,0.0398,,-4.192e-04,0.0398
-2.243e-03,14,0.0398,,-4.176e-04,0.0398
-2.240e-03,14.0031,0.0398,,-4.160e-04,0.0398
-2.237e-03,14,0.0398,,-4.144e-04,0.0398
-2.234e-03,14,0.0398,,-4.128e-04,0.0398
-2.230e-03,14,0.0398,,-4.112e-04,0.0398
-2.227e-03,14,0.0398,,-4.096e-04,0.0398
-2.224e-03,14,0.0398,,-4.080e-04,0.0398
-2.221e-03,14.0031,0.0398,,-4.064e-04,0.0398
-2.218e-03,14,0.0398,,-4.048e-04,0.0398
-2.214e-03,14,0.0398,,-4.032e-04,0.0398
-2.211e-03,14,0.0398,,-4.016e-04,0.0398
-2.208e-03,14,0.0398,,-4.000e-04,0.0398
-2.205e-03,14,0.0398,,-3.984e-04,0.0398
-2.202e-03,14,0.0398,,-3.968e-04,0.0398
-2.198e-03,14.0031,0.0398,,-3.952e-04,0.0398
-2.195e-03,14.0031,0.0398,,-3.936e-04,0.0398
-2.192e-03,14.0031,0.0398,,-3.920e-04,0.0398
-2.189e-03,14.0031,0.0398,,-3.904e-04,0.0398
-2.186e-03,14.0031,0.0398,,-3.888e-04,0.0398
-2.182e-03,14.0031,0.0398,,-3.872e-04,0.0398
-2.179e-03,14.0031,0.0398,,-3.856e-04,0.0398
-2.176e-03,14.0031,0.0398,,-3.840e-04,0.0398
-2.173e-03,14.0031,0.0398,,-3.824e-04,0.0398
-2.170e-03,14.1687,0.0398,,-3.808e-04,0.0398
-2.166e-03,14.3344,0.0398,,-3.792e-04,0.0398
-2.163e-03,14.5375,0.0398,,-3.776e-04,0.0398
-2.160e-03,14.6281,0.0398,,-3.760e-04,0.0398
-2.157e-03,14.8,0.0398,,-3.744e-04,0.0398
-2.154e-03,14.8031,0.0398,,-3.728e-04,0.0398
-2.150e-03,14.8219,0.0398,,-3.712e-04,0.0398
