Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,1.6e-06,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.02
Label,,
TIME,CH1,CH2
-6.640e-04,-0.299218,0.101641
-6.624e-04,-0.299218,0.101575
-6.608e-04,-0.299218,0.101397
-6.592e-04,-0.299218,0.101409
-6.576e-04,-0.299218,0.101372
-6.560e-04,-0.3,0.101331
-6.544e-04,-0.299218,0.101366
-6.528e-04,-0.299218,0.101306
-6.512e-04,-0.299218,0.101334
-6.496e-04,-0.299218,0.101341
-6.480e-04,-0.299218,0.101269
-6.464e-04,-0.299218,0.101247
-6.448e-04,-0.299218,0.101256
-6.432e-04,-0.299218,0.101191
-6.416e-04,-0.299218,0.101253
-6.400e-04,-0.299218,0.101231
-6.384e-04,-0.3,0.101219
-6.368e-04,-0.3,0.101228
-6.352e-04,-0.299218,0.101212
-6.336e-04,-0.298437,0.101175
-6.320e-04,-0.299218,0.101219
-6.304e-04,-0.299218,0.101197
-6.288e-04,-0.299218,0.101194
-6.272e-04,-0.299218,0.101194
-6.256e-04,-0.299218,0.101025
-6.240e-04,-0.3,0.100934
-6.224e-04,-0.299218,0.1008
-6.208e-04,-0.299218,0.1008
-6.192e-04,-0.299218,0.100653
-6.176e-04,-0.299218,0.100628
-6.160e-04,-0.299218,0.100516
-6.144e-04,-0.299218,0.100547
-6.128e-04,-0.299218,0.100531
-6.112e-04,-0.299218,0.1005
-6.096e-04,-0.299218,0.100491
-6.080e-04,-0.299218,0.100472
-6.064e-04,-0.299218,0.10045
-6.048e-04,-0.299218,0.100425
-6.032e-04,-0.299218,0.100422
-6.016e-04,-0.299218,0.100459
-6.000e-04,-0.299218,0.100447
-5.984e-04,-0.299218,0.100444
-5.968e-04,-0.299218,0.100437
-5.952e-04,-0.299218,0.100416
-5.936e-04,-0.299218,0.100406
-5.920e-04,-0.299218,0.10035
-5.904e-04,-0.299218,0.100184
-5.888e-04,-0.299218,0.10005
-5.872e-04,-0.299218,0.100069
-5.856e-04,-0.299218,0.100066
-5.840e-04,-0.299218,0.0999344
-5.824e-04,-0.299218,0.0998625
-5.808e-04,-0.299218,0.0996937
-5.792e-04,-0.299218,0.0997344
-5.776e-04,-0.299218,0.0996844
-5.760e-04,-0.299218,0.0996594
-5.744e-04,-0.299218,0.0997062
-5.728e-04,-0.299218,0.0996875
-5.712e-04,-0.299218,0.0996406
-5.696e-04,-0.3,0.0996281
-5.680e-04,-0.299218,0.0996625
-5.664e-04,-0.299218,0.0996156
-5.648e-04,-0.3,0.0996625
-5.632e-04,-0.299218,0.0996031
-5.616e-04,-0.299218,0.0996187
-5.600e-04,-0.299218,0.0996375
-5.584e-04,-0.3,0.0996
-5.568e-04,-0.3,0.0995844
-5.552e-04,-0.299218,0.0994656
-5.536e-04,-0.299218,0.0993187
-5.520e-04,-0.299218,0.0993469
-5.504e-04,-0.299218,0.0993156
-5.488e-04,-0.299218,0.0990875
-5.472e-04,-0.299218,0.0989437
-5.456e-04,-0.299218,0.098975
-5.440e-04,-0.299218,0.098975
-5.424e-04,-0.299218,0.0989469
-5.408e-04,-0.299218,0.0988875
-5.392e-04,-0.299218,0.0988875
-5.376e-04,-0.299218,0.0989094
-5.360e-04,-0.299218,0.0988812
-5.344e-04,-0.299218,0.0988437
-5.328e-04,-0.299218,0.0988281
-5.312e-04,-0.299218,0.0988125
-5.296e-04,-0.299218,0.0988406
-5.280e-04,-0.298437,0.0988625
-5.264e-04,-0.299218,0.0988156
-5.248e-04,-0.299218,0.0988187
-5.232e-04,-0.299218,0.0987812
-5.216e-04,-0.299218,0.0985531
-5.200e-04,-0.299218,0.0986125
-5.184e-04,-0.299218,0.0984531
-5.168e-04,-0.299218,0.0983906
-5.152e-04,-0.299218,0.0981781
-5.136e-04,-0.299218,0.0982594
-5.120e-04,-0.299218,0.0980562
-5.104e-04,-0.299218,0.0981906
-5.088e-04,-0.298437,0.0980844
-5.072e-04,-0.3,0.0980812
-5.056e-04,-0.299218,0.09805
-5.040e-04,-0.299218,0.0980437
-5.024e-04,-0.297656,0.0980594
-5.008e-04,-0.299218,0.0980156
-4.992e-04,-0.298437,0.0980406
-4.976e-04,-0.299218,0.0980469
-4.960e-04,-0.299218,0.0980062
-4.944e-04,-0.299218,0.0979969
-4.928e-04,-0.299218,0.098
-4.912e-04,-0.299218,0.0978812
-4.896e-04,-0.299218,0.0977812
-4.880e-04,-0.298437,0.0976219
-4.864e-04,-0.299218,0.0975562
-4.848e-04,-0.299218,0.0973281
-4.832e-04,-0.29375,0.0973469
-4.816e-04,-0.298437,0.0973906
-4.800e-04,-0.298437,0.0972656
-4.784e-04,-0.294531,0.0972437
-4.768e-04,-0.298437,0.0972437
-4.752e-04,-0.299218,0.0972531
