Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,1.6e-06,,,
Filter Frequency,2e+08,,,
Record Length,2000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,5,0.02,0.5,1
Label,,,,
TIME,CH1,CH2,CH3,CH4
-6.560e-04,-0.271093,0.104453,-2.08344,0.0601562
-6.544e-04,-0.275781,0.104425,-2.07844,0.0564062
-6.528e-04,-0.283593,0.104409,-2.07188,0.0601562
-6.512e-04,-0.272656,0.104347,-2.07,0.0585937
-6.496e-04,-0.267187,0.103984,-2.06992,0.0598437
-6.480e-04,-0.261718,0.103769,-2.06992,0.0599999
-6.464e-04,-0.25625,0.103722,-2.06992,0.0599999
-6.448e-04,-0.299218,0.103697,-2.06992,0.0593749
-6.432e-04,-0.264843,0.103628,-2.06992,0.0599999
-6.416e-04,-0.275781,0.1036,-2.06875,0.0589062
-6.400e-04,-0.26875,0.103387,-2.06672,0.0574999
-6.384e-04,-0.261718,0.103122,-2.0668,0.0589062
-6.368e-04,-0.263281,0.102928,-2.06539,0.0599999
-6.352e-04,-0.267968,0.102872,-2.06344,0.0562499
-6.336e-04,-0.261718,0.102859,-2.05898,0.0568749
-6.320e-04,-0.264062,0.102806,-2.05336,0.0598437
-6.304e-04,-0.257031,0.102803,-2.04992,0.0598437
-6.288e-04,-0.299218,0.102494,-2.04992,0.0599999
-6.272e-04,-0.260156,0.102094,-2.04992,0.0578124
-6.256e-04,-0.264062,0.102097,-2.04992,0.0599999
-6.240e-04,-0.267968,0.102009,-2.04992,0.0596874
-6.224e-04,-0.264062,0.102006,-2.04992,0.0365624
-6.208e-04,-0.253906,0.101994,-2.04992,0.0599999
-6.192e-04,-0.257031,0.101687,-2.04992,0.0599999
-6.176e-04,-0.267968,0.101372,-2.04594,0.0599999
-6.160e-04,-0.271875,0.101278,-2.04406,0.0582812
-6.144e-04,-0.260937,0.101237,-2.04109,0.0599999
-6.128e-04,-0.258593,0.101212,-2.03539,0.0557812
-6.112e-04,-0.264843,0.101125,-2.03,0.0596874
-6.096e-04,-0.26875,0.100697,-2.03,0.0576562
-6.080e-04,-0.255468,0.100581,-2.03,0.0565624
-6.064e-04,-0.257031,0.100453,-2.03,0.0568749
-6.048e-04,-0.260156,0.100412,-2.03,0.0599999
-6.032e-04,-0.258593,0.100416,-2.03,0.0567187
-6.016e-04,-0.257812,0.1004,-2.02992,0.0599999
-6.000e-04,-0.25625,0.0998062,-2.02992,0.0599999
-5.984e-04,-0.260156,0.0997719,-2.02695,0.0596874
-5.968e-04,-0.264062,0.0996312,-2.02367,0.0584374
-5.952e-04,-0.266406,0.0996219,-2.01891,0.0599999
-5.936e-04,-0.261718,0.0995969,-2.01484,0.0599999
-5.920e-04,-0.2625,0.0993594,-2.01,0.0582812
-5.904e-04,-0.267968,0.0990531,-2.00992,0.0592187
-5.888e-04,-0.253906,0.0989406,-2.00992,0.0579687
-5.872e-04,-0.251562,0.0988406,-2.00992,0.0381249
-5.856e-04,-0.266406,0.0988219,-2.00992,0.0578124
-5.840e-04,-0.2625,0.0988156,-2.00992,0.0599999
-5.824e-04,-0.264062,0.0984312,-2.00992,0.0599999
-5.808e-04,-0.299218,0.0982594,-2.00945,0.0589062
-5.792e-04,-0.2625,0.0980156,-2.00758,0.0601562
-5.776e-04,-0.253125,0.0980094,-2.0057,0.0587499
-5.760e-04,-0.2625,0.0980281,-2.00289,0.0573437
-5.744e-04,-0.260156,0.0977562,-1.99773,0.0599999
-5.728e-04,-0.278125,0.0974656,-1.99227,0.0599999
-5.712e-04,-0.257031,0.0973375,-1.98992,0.0584374
-5.696e-04,-0.257812,0.0973594,-1.99,0.0589062
-5.680e-04,-0.255468,0.0972562,-1.99,0.0599999
-5.664e-04,-0.2625,0.0972094,-1.98992,0.0599999
-5.648e-04,-0.246093,0.0971156,-1.98992,0.0567187
-5.632e-04,-0.275781,0.0967375,-1.98992,0.0599999
-5.616e-04,-0.252343,0.0965719,-1.98992,0.0599999
-5.600e-04,-0.259375,0.0964562,-1.98563,0.0598437
-5.584e-04,-0.253125,0.0964375,-1.98367,0.0599999
-5.568e-04,-0.252343,0.0964094,-1.97898,0.0599999
-5.552e-04,-0.276562,0.0963031,-1.9757,0.0599999
-5.536e-04,-0.253125,0.0957812,-1.97008,0.0599999
-5.520e-04,-0.2625,0.0957094,-1.97,0.0599999
-5.504e-04,-0.266406,0.0956875,-1.97,0.0599999
-5.488e-04,-0.253906,0.0956562,-1.97,0.0598437
-5.472e-04,-0.252343,0.0955906,-1.96992,0.0574999
-5.456e-04,-0.273437,0.0952125,-1.97,0.0595312
-5.440e-04,-0.267187,0.0950875,-1.96992,0.0598437
-5.424e-04,-0.257812,0.0948594,-1.96992,0.0593749
