Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,,,Point Format,Y
Horizontal Units,S,,,,,Horizontal Units,S
Horizontal Scale,0.0002,,,,,Horizontal Scale,0.0002
Sample Interval,1.6e-06,,,,,Sample Interval,1.6e-06
Filter Frequency,2e+08,,,,,Filter Frequency,2e+08
Record Length,2000,,,,,Record Length,2000
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,10,10,1,1,,Probe Attenuation,1
Vertical Units,V,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,0,,Vertical Offset,0
Vertical Scale,5,0.01,0.5,1,,Vertical Scale,5
Label,,,,,,Label,
TIME,CH1,CH2,CH3,CH4,,TIME,MATH
-6.560e-04,-2.95781,0.0728,-2.07938,0.0442187,,-6.560e-04,-2.88672
-6.544e-04,-2.95156,0.0728,-2.07023,0.0437499,,-6.544e-04,-2.88047
-6.528e-04,-2.95,0.0728,-2.07008,0.0470312,,-6.528e-04,-2.87891
-6.512e-04,-2.94062,0.0728,-2.07,0.0599999,,-6.512e-04,-2.86953
-6.496e-04,-2.94297,0.0728,-2.07,0.0599999,,-6.496e-04,-2.87188
-6.480e-04,-2.93281,0.0728,-2.06992,0.0464062,,-6.480e-04,-2.86172
-6.464e-04,-2.94453,0.0728,-2.06695,0.0440624,,-6.464e-04,-2.87344
-6.448e-04,-2.94219,0.0728,-2.06547,0.0239062,,-6.448e-04,-2.87109
-6.432e-04,-2.93594,0.0728,-2.06289,0.0456249,,-6.432e-04,-2.86484
-6.416e-04,-2.93125,0.0728,-2.06234,0.0467187,,-6.416e-04,-2.86016
-6.400e-04,-2.93672,0.0728,-2.06234,0.0465624,,-6.400e-04,-2.86563
-6.384e-04,-2.93359,0.0728,-2.06227,0.0446874,,-6.384e-04,-2.8625
-6.368e-04,-2.92891,0.0728,-2.05195,0.0478124,,-6.368e-04,-2.85781
-6.352e-04,-2.92109,0.0728,-2.05914,0.0437499,,-6.352e-04,-2.85
-6.336e-04,-2.93828,0.0728,-2.05734,0.0435937,,-6.336e-04,-2.86719
-6.320e-04,-2.91719,0.0728,-2.05,0.0459374,,-6.320e-04,-2.84609
-6.304e-04,-3.02969,0.0728,-2.05,0.0428124,,-6.304e-04,-2.95859
-6.288e-04,-2.91562,0.0728,-2.04992,0.0446874,,-6.288e-04,-2.84453
-6.272e-04,-2.90547,0.0728,-2.05,0.0453124,,-6.272e-04,-2.83438
-6.256e-04,-2.90859,0.0728,-2.05,0.0437499,,-6.256e-04,-2.8375
-6.240e-04,-2.89922,0.0728,-2.04672,0.0442187,,-6.240e-04,-2.82812
-6.224e-04,-2.9,0.0728,-2.04359,0.0440624,,-6.224e-04,-2.82891
-6.208e-04,-2.98125,0.0728,-2.04336,0.0424999,,-6.208e-04,-2.91016
-6.192e-04,-2.89922,0.0728,-2.04242,0.0440624,,-6.192e-04,-2.82812
-6.176e-04,-2.89922,0.0728,-2.04117,0.0420312,,-6.176e-04,-2.82812
-6.160e-04,-2.9,0.0728,-2.04016,0.0420312,,-6.160e-04,-2.82891
-6.144e-04,-2.89922,0.0728,-2.03742,0.0435937,,-6.144e-04,-2.82812
-6.128e-04,-2.89922,0.0728,-2.03,0.0232812,,-6.128e-04,-2.82812
-6.112e-04,-2.89922,0.0728,-2.03008,0.0245312,,-6.112e-04,-2.82812
-6.096e-04,-2.89922,0.0728,-2.03,0.0429687,,-6.096e-04,-2.82812
-6.080e-04,-2.89922,0.0728,-2.03,0.0456249,,-6.080e-04,-2.82812
-6.064e-04,-2.89922,0.0728,-2.03,0.0437499,,-6.064e-04,-2.82812
-6.048e-04,-2.89922,0.0728,-2.02859,0.0595312,,-6.048e-04,-2.82812
-6.032e-04,-2.89922,0.0728,-2.02656,0.0439062,,-6.032e-04,-2.82812
-6.016e-04,-2.89922,0.0728,-2.02461,0.0443749,,-6.016e-04,-2.82812
-6.000e-04,-2.89922,0.0728,-2.02992,0.0440624,,-6.000e-04,-2.82812
-5.984e-04,-2.89922,0.0728,-2.02063,0.0439062,,-5.984e-04,-2.82812
-5.968e-04,-2.89922,0.0728,-2.02,0.0446874,,-5.968e-04,-2.82812
-5.952e-04,-2.89922,0.0728,-2.01727,0.0460937,,-5.952e-04,-2.82812
-5.936e-04,-2.89922,0.0728,-2.01328,0.0235937,,-5.936e-04,-2.82812
