[s],CH1[V]
2.35662E-03,-2.836E-02
2.35662E-03,-3.643E-04
2.35670E-03,-9.964E-03
2.35670E-03,-1.964E-03
2.35679E-03,-1.636E-02
2.35679E-03,-9.164E-03
2.35688E-03,-2.116E-02
2.35688E-03,-1.556E-02
2.35697E-03,-2.356E-02
2.35697E-03,-2.036E-02
2.35706E-03,-2.356E-02
2.35706E-03,-2.196E-02
2.35714E-03,-2.356E-02
2.35714E-03,-1.956E-02
2.35723E-03,-2.036E-02
2.35723E-03,-1.476E-02
2.35732E-03,-1.556E-02
2.35732E-03,-7.564E-03
2.35741E-03,-8.364E-03
2.35741E-03,-3.643E-04
2.35750E-03,-1.164E-03
2.35750E-03,7.636E-03
2.35758E-03,6.836E-03
2.35758E-03,1.484E-02
2.35767E-03,1.404E-02
2.35767E-03,2.044E-02
2.35776E-03,1.884E-02
2.35776E-03,2.204E-02
2.35785E-03,2.124E-02
2.35785E-03,2.284E-02
2.35794E-03,1.884E-02
2.35794E-03,2.284E-02
2.35802E-03,1.404E-02
2.35802E-03,1.964E-02
2.35811E-03,7.636E-03
2.35811E-03,1.484E-02
2.35820E-03,-1.164E-03
2.35820E-03,7.636E-03
2.35829E-03,-9.164E-03
2.35829E-03,-3.643E-04
2.35838E-03,-1.716E-02
2.35838E-03,-8.364E-03
2.35846E-03,-2.276E-02
2.35846E-03,-1.636E-02
2.35855E-03,-2.596E-02
2.35855E-03,-2.196E-02
2.35864E-03,-2.676E-02
2.35864E-03,-2.516E-02
2.35873E-03,-2.596E-02
2.35873E-03,-2.276E-02
2.35882E-03,-2.356E-02
2.35882E-03,-1.796E-02
2.35890E-03,-1.796E-02
2.35890E-03,-1.076E-02
2.35899E-03,-1.076E-02
2.35899E-03,-1.964E-03
2.35908E-03,-2.764E-03
2.35908E-03,6.836E-03
2.35917E-03,6.036E-03
2.35917E-03,1.484E-02
2.35926E-03,1.404E-02
2.35926E-03,2.124E-02
2.35934E-03,2.044E-02
2.35934E-03,2.524E-02
2.35943E-03,2.364E-02
2.35943E-03,2.604E-02
2.35952E-03,2.204E-02
2.35952E-03,2.604E-02
2.35961E-03,1.724E-02
2.35961E-03,2.284E-02
2.35970E-03,9.236E-03
2.35970E-03,1.804E-02
2.35978E-03,4.357E-04
2.35978E-03,1.004E-02
2.35987E-03,-9.164E-03
2.35987E-03,1.236E-03
2.35996E-03,-1.796E-02
2.35996E-03,-8.364E-03
2.36005E-03,-2.516E-02
2.36005E-03,-1.636E-02
2.36014E-03,-2.836E-02
2.36014E-03,-2.356E-02
2.36022E-03,-2.996E-02
2.36022E-03,-2.756E-02
2.36031E-03,-2.996E-02
2.36031E-03,-2.676E-02
2.36040E-03,-2.676E-02
2.36040E-03,-2.036E-02
2.36049E-03,-2.116E-02
