[s],CH1[V]
-1.31338E-03,-2.836E-02
-1.31338E-03,1.084E-02
-1.31267E-03,-1.876E-02
-1.31267E-03,2.444E-02
-1.31197E-03,-2.356E-02
-1.31197E-03,2.044E-02
-1.31126E-03,-2.196E-02
-1.31126E-03,1.804E-02
-1.31056E-03,-1.396E-02
-1.31056E-03,1.804E-02
-1.30986E-03,-1.716E-02
-1.30986E-03,7.636E-03
-1.30915E-03,-3.564E-03
-1.30915E-03,1.484E-02
-1.30845E-03,-1.396E-02
-1.30845E-03,-2.764E-03
-1.30774E-03,-3.564E-03
-1.30774E-03,1.164E-02
-1.30704E-03,-1.316E-02
-1.30704E-03,6.036E-03
-1.30634E-03,-1.076E-02
-1.30634E-03,1.324E-02
-1.30563E-03,-1.556E-02
-1.30563E-03,1.244E-02
-1.30493E-03,-1.556E-02
-1.30493E-03,1.404E-02
-1.30422E-03,-1.316E-02
-1.30422E-03,1.644E-02
-1.30352E-03,-2.116E-02
-1.30352E-03,6.036E-03
-1.30282E-03,-3.643E-04
-1.30282E-03,2.204E-02
-1.30211E-03,-2.756E-02
-1.30211E-03,4.357E-04
-1.30141E-03,-1.316E-02
-1.30141E-03,2.764E-02
-1.30070E-03,-3.316E-02
-1.30070E-03,2.044E-02
-1.30000E-03,-3.076E-02
-1.30000E-03,3.244E-02
-1.29930E-03,-3.396E-02
-1.29930E-03,3.244E-02
-1.29859E-03,-3.716E-02
-1.29859E-03,2.524E-02
-1.29789E-03,-1.796E-02
-1.29789E-03,3.644E-02
-1.29718E-03,-3.796E-02
-1.29718E-03,1.236E-03
-1.29648E-03,4.357E-04
-1.29648E-03,3.564E-02
-1.29578E-03,-3.636E-02
-1.29578E-03,1.084E-02
-1.29507E-03,-2.356E-02
-1.29507E-03,3.244E-02
-1.29437E-03,-3.236E-02
-1.29437E-03,2.844E-02
-1.29366E-03,-3.156E-02
-1.29366E-03,2.684E-02
-1.29296E-03,-2.196E-02
-1.29296E-03,2.684E-02
-1.29226E-03,-2.596E-02
-1.29226E-03,1.164E-02
-1.29155E-03,-4.364E-03
-1.29155E-03,2.124E-02
-1.29085E-03,-2.036E-02
-1.29085E-03,-4.364E-03
-1.29014E-03,-4.364E-03
-1.29014E-03,1.644E-02
-1.28944E-03,-1.556E-02
-1.28944E-03,8.436E-03
-1.28874E-03,-1.236E-02
-1.28874E-03,1.244E-02
-1.28803E-03,-1.316E-02
-1.28803E-03,1.164E-02
-1.28733E-03,-1.316E-02
-1.28733E-03,1.084E-02
-1.28662E-03,-9.164E-03
-1.28662E-03,1.164E-02
-1.28592E-03,-1.396E-02
-1.28592E-03,3.636E-03
-1.28522E-03,-3.643E-04
-1.28522E-03,1.404E-02
-1.28451E-03,-1.876E-02
-1.28451E-03,-3.643E-04
-1.28381E-03,-9.164E-03
-1.28381E-03,1.884E-02
-1.28310E-03,-2.436E-02
-1.28310E-03,1.404E-02
-1.28240E-03,-2.196E-02
-1.28240E-03,2.444E-02
-1.28170E-03,-2.756E-02
-1.28170E-03,2.444E-02
