[Hz],FFT[dBm]
0.00000000E+00,-5.59254E+01
1.52587891E+03,-5.88054E+01
3.05175781E+03,-8.64454E+01
4.57763672E+03,-8.88854E+01
6.10351562E+03,-9.62054E+01
7.62939453E+03,-8.60854E+01
9.15527344E+03,-8.79454E+01
1.06811523E+04,-8.80254E+01
1.22070312E+04,-8.77854E+01
1.37329102E+04,-9.11054E+01
1.52587891E+04,-9.75454E+01
1.67846680E+04,-9.38654E+01
1.83105469E+04,-8.91254E+01
1.98364258E+04,-8.92654E+01
2.13623047E+04,-9.43854E+01
2.28881836E+04,-9.39254E+01
2.44140625E+04,-9.15454E+01
2.59399414E+04,-9.32254E+01
2.74658203E+04,-8.95454E+01
2.89916992E+04,-9.06654E+01
3.05175781E+04,-1.09505E+02
3.20434570E+04,-9.27454E+01
3.35693359E+04,-9.28654E+01
3.50952148E+04,-9.20254E+01
3.66210938E+04,-8.90854E+01
3.81469727E+04,-9.11054E+01
3.96728516E+04,-9.13254E+01
4.11987305E+04,-9.03054E+01
4.27246094E+04,-1.02505E+02
4.42504883E+04,-8.92454E+01
4.57763672E+04,-9.46454E+01
4.73022461E+04,-8.84054E+01
4.88281250E+04,-9.88054E+01
5.03540039E+04,-8.46454E+01
5.18798828E+04,-9.23254E+01
5.34057617E+04,-9.49654E+01
5.49316406E+04,-9.91454E+01
5.64575195E+04,-9.25454E+01
5.79833984E+04,-9.30054E+01
5.95092773E+04,-8.59654E+01
6.10351562E+04,-8.67854E+01
6.25610352E+04,-1.01805E+02
6.40869141E+04,-8.69654E+01
6.56127930E+04,-8.56654E+01
6.71386719E+04,-8.47854E+01
6.86645508E+04,-9.01454E+01
7.01904297E+04,-9.18254E+01
7.17163086E+04,-8.89654E+01
7.32421875E+04,-8.78054E+01
7.47680664E+04,-8.76054E+01
7.62939453E+04,-8.91454E+01
7.78198242E+04,-9.67054E+01
7.93457031E+04,-9.97654E+01
8.08715820E+04,-9.94654E+01
8.23974609E+04,-9.53454E+01
8.39233398E+04,-8.84254E+01
8.54492188E+04,-8.84054E+01
8.69750977E+04,-9.14654E+01
8.85009766E+04,-8.78854E+01
9.00268555E+04,-8.92054E+01
9.15527344E+04,-9.25254E+01
9.30786133E+04,-9.29254E+01
9.46044922E+04,-9.25054E+01
9.61303711E+04,-9.83054E+01
9.76562500E+04,-9.32054E+01
9.91821289E+04,-9.16454E+01
1.00708008E+05,-9.45854E+01
1.02233887E+05,-9.19454E+01
1.03759766E+05,-8.58654E+01
1.05285645E+05,-8.84854E+01
1.06811523E+05,-9.06054E+01
1.08337402E+05,-8.81054E+01
1.09863281E+05,-9.11054E+01
1.11389160E+05,-8.83054E+01
1.12915039E+05,-8.75054E+01
1.14440918E+05,-8.71454E+01
1.15966797E+05,-9.11854E+01
1.17492676E+05,-9.75854E+01
1.19018555E+05,-9.39854E+01
1.20544434E+05,-8.92254E+01
1.22070312E+05,-8.75054E+01
1.23596191E+05,-9.02454E+01
1.25122070E+05,-8.72854E+01
1.26647949E+05,-8.54254E+01
1.28173828E+05,-9.00054E+01
1.29699707E+05,-9.21654E+01
1.31225586E+05,-1.01785E+02
1.32751465E+05,-9.46854E+01
1.34277344E+05,-9.44054E+01
1.35803223E+05,-8.85254E+01
1.37329102E+05,-8.50654E+01
1.38854980E+05,-8.55254E+01
1.40380859E+05,-8.62054E+01
1.41906738E+05,-9.28254E+01
1.43432617E+05,-9.32654E+01
1.44958496E+05,-8.74454E+01
1.46484375E+05,-9.09054E+01
1.48010254E+05,-9.89054E+01
1.49536133E+05,-9.56054E+01
1.51062012E+05,-9.30454E+01
1.52587891E+05,-9.15054E+01
1.54113770E+05,-9.20254E+01
1.55639648E+05,-9.53854E+01
1.57165527E+05,-9.38454E+01
1.58691406E+05,-9.27854E+01
1.60217285E+05,-9.61254E+01
1.61743164E+05,-9.44854E+01
1.63269043E+05,-9.75054E+01
1.64794922E+05,-8.76054E+01
1.66320801E+05,-8.50854E+01
1.67846680E+05,-8.77254E+01
1.69372559E+05,-9.28454E+01
1.70898438E+05,-9.05454E+01
1.72424316E+05,-9.52454E+01
1.73950195E+05,-9.06854E+01
1.75476074E+05,-9.41654E+01
1.77001953E+05,-8.95854E+01
1.78527832E+05,-8.44654E+01
1.80053711E+05,-8.69454E+01
1.81579590E+05,-9.39054E+01
1.83105469E+05,-1.02965E+02
1.84631348E+05,-9.38454E+01
1.86157227E+05,-9.00454E+01
1.87683105E+05,-9.75454E+01
1.89208984E+05,-9.39654E+01
1.90734863E+05,-8.98254E+01
1.92260742E+05,-8.89054E+01
1.93786621E+05,-9.27854E+01
1.95312500E+05,-9.28654E+01
1.96838379E+05,-1.02645E+02
1.98364258E+05,-9.22054E+01
1.99890137E+05,-8.90054E+01
2.01416016E+05,-9.47454E+01
2.02941895E+05,-9.33854E+01
2.04467773E+05,-9.07054E+01
