[Hz],FFT[dBm]
0.00000000E+00,-4.78654E+01
6.10351562E+02,-5.08854E+01
1.22070312E+03,-8.53054E+01
1.83105469E+03,-9.84854E+01
2.44140625E+03,-8.85654E+01
3.05175781E+03,-8.93454E+01
3.66210938E+03,-9.36254E+01
4.27246094E+03,-9.49854E+01
4.88281250E+03,-1.00765E+02
5.49316406E+03,-9.53854E+01
6.10351562E+03,-9.99254E+01
6.71386719E+03,-1.04145E+02
7.32421875E+03,-1.08785E+02
7.93457031E+03,-9.66054E+01
8.54492188E+03,-9.36654E+01
9.15527344E+03,-9.20454E+01
9.76562500E+03,-8.37654E+01
1.03759766E+04,-8.09254E+01
1.09863281E+04,-8.87254E+01
1.15966797E+04,-9.70854E+01
1.22070312E+04,-1.01705E+02
1.28173828E+04,-1.07525E+02
1.34277344E+04,-9.47854E+01
1.40380859E+04,-8.97054E+01
1.46484375E+04,-9.40854E+01
1.52587891E+04,-8.92454E+01
1.58691406E+04,-9.00854E+01
1.64794922E+04,-9.61854E+01
1.70898438E+04,-1.01485E+02
1.77001953E+04,-9.95054E+01
1.83105469E+04,-1.06565E+02
1.89208984E+04,-1.06945E+02
1.95312500E+04,-1.00745E+02
2.01416016E+04,-9.65054E+01
2.07519531E+04,-9.68054E+01
2.13623047E+04,-1.00985E+02
2.19726562E+04,-9.73054E+01
2.25830078E+04,-1.07525E+02
2.31933594E+04,-1.04485E+02
2.38037109E+04,-1.06105E+02
2.44140625E+04,-1.09305E+02
2.50244141E+04,-1.07825E+02
2.56347656E+04,-1.00545E+02
2.62451172E+04,-1.03665E+02
2.68554688E+04,-9.81854E+01
2.74658203E+04,-9.93654E+01
2.80761719E+04,-1.05425E+02
2.86865234E+04,-1.00285E+02
2.92968750E+04,-9.69654E+01
2.99072266E+04,-9.36254E+01
3.05175781E+04,-9.43654E+01
3.11279297E+04,-9.52654E+01
3.17382812E+04,-9.96654E+01
3.23486328E+04,-9.98454E+01
3.29589844E+04,-1.00585E+02
3.35693359E+04,-1.21785E+02
3.41796875E+04,-9.88454E+01
3.47900391E+04,-1.12085E+02
3.54003906E+04,-1.00805E+02
3.60107422E+04,-1.00585E+02
3.66210938E+04,-1.02245E+02
3.72314453E+04,-1.03165E+02
3.78417969E+04,-9.57254E+01
3.84521484E+04,-9.76054E+01
3.90625000E+04,-1.02005E+02
3.96728516E+04,-9.18254E+01
4.02832031E+04,-9.52854E+01
4.08935547E+04,-9.85054E+01
4.15039062E+04,-8.89454E+01
4.21142578E+04,-8.91454E+01
4.27246094E+04,-1.00665E+02
4.33349609E+04,-9.73254E+01
4.39453125E+04,-1.02165E+02
4.45556641E+04,-9.93254E+01
4.51660156E+04,-9.18854E+01
4.57763672E+04,-9.28654E+01
4.63867188E+04,-9.95654E+01
4.69970703E+04,-9.61054E+01
4.76074219E+04,-9.38054E+01
4.82177734E+04,-9.02254E+01
4.88281250E+04,-9.32254E+01
4.94384766E+04,-1.01545E+02
5.00488281E+04,-9.29854E+01
5.06591797E+04,-9.44654E+01
5.12695312E+04,-1.02505E+02
5.18798828E+04,-1.02305E+02
5.24902344E+04,-9.46454E+01
5.31005859E+04,-9.07454E+01
5.37109375E+04,-9.30854E+01
