[s],CH1[V]
2.35661E-03,-5.964E-03
2.35661E-03,3.404E-02
2.35670E-03,-3.564E-03
2.35670E-03,4.436E-03
2.35678E-03,3.636E-03
2.35678E-03,1.244E-02
2.35687E-03,1.244E-02
2.35687E-03,1.964E-02
2.35696E-03,1.884E-02
2.35696E-03,2.364E-02
2.35705E-03,2.364E-02
2.35705E-03,2.604E-02
2.35714E-03,2.364E-02
2.35714E-03,2.604E-02
2.35722E-03,1.884E-02
2.35722E-03,2.444E-02
2.35731E-03,1.164E-02
2.35731E-03,1.964E-02
2.35740E-03,2.036E-03
2.35740E-03,1.244E-02
2.35749E-03,-7.564E-03
2.35749E-03,2.836E-03
2.35758E-03,-1.716E-02
2.35758E-03,-6.764E-03
2.35766E-03,-2.596E-02
2.35766E-03,-1.716E-02
2.35775E-03,-3.156E-02
2.35775E-03,-2.516E-02
2.35784E-03,-3.396E-02
2.35784E-03,-2.996E-02
2.35793E-03,-3.396E-02
2.35793E-03,-3.076E-02
2.35802E-03,-3.156E-02
2.35802E-03,-2.596E-02
2.35810E-03,-2.596E-02
2.35810E-03,-1.716E-02
2.35819E-03,-1.796E-02
2.35819E-03,-6.764E-03
2.35828E-03,-6.764E-03
2.35828E-03,5.236E-03
2.35837E-03,4.436E-03
2.35837E-03,1.724E-02
2.35846E-03,1.644E-02
2.35846E-03,2.684E-02
2.35854E-03,2.604E-02
2.35854E-03,3.324E-02
2.35863E-03,3.244E-02
2.35863E-03,3.644E-02
2.35872E-03,3.404E-02
2.35872E-03,3.644E-02
2.35881E-03,2.844E-02
2.35881E-03,3.484E-02
2.35890E-03,1.804E-02
2.35890E-03,2.844E-02
2.35898E-03,6.836E-03
2.35898E-03,1.964E-02
2.35907E-03,-7.564E-03
2.35907E-03,6.836E-03
2.35916E-03,-2.036E-02
2.35916E-03,-6.764E-03
2.35925E-03,-3.156E-02
2.35925E-03,-2.036E-02
2.35934E-03,-3.876E-02
2.35934E-03,-3.156E-02
2.35942E-03,-4.276E-02
2.35942E-03,-3.876E-02
2.35951E-03,-4.356E-02
2.35951E-03,-4.036E-02
2.35960E-03,-4.116E-02
2.35960E-03,-3.396E-02
2.35969E-03,-3.476E-02
2.35969E-03,-2.276E-02
2.35978E-03,-2.436E-02
2.35978E-03,-9.964E-03
2.35986E-03,-9.964E-03
2.35986E-03,4.436E-03
2.35995E-03,3.636E-03
2.35995E-03,1.804E-02
2.36004E-03,1.804E-02
2.36004E-03,3.084E-02
2.36013E-03,3.004E-02
2.36013E-03,3.964E-02
2.36022E-03,3.884E-02
2.36022E-03,4.364E-02
2.36030E-03,4.124E-02
2.36030E-03,4.364E-02
2.36039E-03,3.484E-02
2.36039E-03,4.204E-02
2.36048E-03,2.364E-02
2.36048E-03,3.564E-02
2.36057E-03,1.004E-02
2.36057E-03,2.444E-02
2.36066E-03,-5.164E-03
2.36066E-03,1.084E-02
2.36074E-03,-2.196E-02
2.36074E-03,-4.364E-03
2.36083E-03,-3.396E-02
2.36083E-03,-2.036E-02
2.36092E-03,-4.356E-02
2.36092E-03,-3.316E-02
2.36101E-03,-4.756E-02
2.36101E-03,-4.196E-02
2.36110E-03,-4.756E-02
2.36110E-03,-4.516E-02
2.36118E-03,-4.676E-02
2.36118E-03,-3.876E-02
2.36127E-03,-3.956E-02
2.36127E-03,-2.836E-02
2.36136E-03,-2.916E-02
2.36136E-03,-1.396E-02
2.36145E-03,-1.396E-02
2.36145E-03,2.036E-03
2.36154E-03,1.236E-03
2.36154E-03,1.724E-02
2.36162E-03,1.644E-02
2.36162E-03,3.084E-02
2.36171E-03,3.004E-02
2.36171E-03,4.044E-02
2.36180E-03,3.964E-02
2.36180E-03,4.524E-02
2.36189E-03,4.364E-02
2.36189E-03,4.604E-02
2.36198E-03,3.804E-02
2.36198E-03,4.444E-02
2.36206E-03,2.684E-02
2.36206E-03,3.804E-02
2.36215E-03,1.324E-02
2.36215E-03,2.764E-02
2.36224E-03,-2.764E-03
2.36224E-03,1.404E-02
2.36233E-03,-1.876E-02
2.36233E-03,-2.764E-03
2.36242E-03,-3.156E-02
2.36242E-03,-1.796E-02
2.36250E-03,-4.196E-02
