[Hz],FFT[dBm]
0.0000000E+00,-5.07054E+01
1.9073486E+02,-5.38454E+01
3.8146973E+02,-9.21454E+01
5.7220459E+02,-8.87454E+01
7.6293945E+02,-8.32654E+01
9.5367432E+02,-7.96854E+01
1.1444092E+03,-8.80854E+01
1.3351440E+03,-9.84054E+01
1.5258789E+03,-8.59254E+01
1.7166138E+03,-8.56054E+01
1.9073486E+03,-9.59854E+01
2.0980835E+03,-9.67854E+01
2.2888184E+03,-9.97854E+01
2.4795532E+03,-9.67054E+01
2.6702881E+03,-9.40054E+01
2.8610229E+03,-9.23254E+01
3.0517578E+03,-9.47854E+01
3.2424927E+03,-1.06085E+02
3.4332275E+03,-9.86854E+01
3.6239624E+03,-1.13885E+02
3.8146973E+03,-9.78254E+01
4.0054321E+03,-9.62454E+01
4.1961670E+03,-1.00365E+02
4.3869019E+03,-1.02485E+02
4.5776367E+03,-1.00865E+02
4.7683716E+03,-9.73654E+01
4.9591064E+03,-9.38454E+01
5.1498413E+03,-1.02245E+02
5.3405762E+03,-1.10385E+02
5.5313110E+03,-1.08565E+02
5.7220459E+03,-1.00905E+02
5.9127808E+03,-1.03065E+02
6.1035156E+03,-1.06245E+02
6.2942505E+03,-9.77054E+01
6.4849854E+03,-9.36254E+01
6.6757202E+03,-9.34654E+01
6.8664551E+03,-1.17545E+02
7.0571899E+03,-9.82054E+01
7.2479248E+03,-1.02965E+02
7.4386597E+03,-9.40454E+01
7.6293945E+03,-9.20654E+01
7.8201294E+03,-9.50454E+01
8.0108643E+03,-9.64654E+01
8.2015991E+03,-9.63454E+01
8.3923340E+03,-1.17145E+02
8.5830688E+03,-1.19585E+02
8.7738037E+03,-1.00965E+02
8.9645386E+03,-1.02985E+02
9.1552734E+03,-9.91054E+01
9.3460083E+03,-9.73254E+01
9.5367432E+03,-9.88454E+01
9.7274780E+03,-9.86454E+01
9.9182129E+03,-1.01405E+02
1.0108948E+04,-8.79054E+01
1.0299683E+04,-8.15454E+01
1.0490417E+04,-8.76854E+01
1.0681152E+04,-1.02745E+02
1.0871887E+04,-9.66854E+01
1.1062622E+04,-1.02305E+02
1.1253357E+04,-9.65854E+01
1.1444092E+04,-9.59854E+01
1.1634827E+04,-1.09205E+02
1.1825562E+04,-1.02205E+02
1.2016296E+04,-9.46054E+01
1.2207031E+04,-9.49654E+01
1.2397766E+04,-9.86254E+01
1.2588501E+04,-1.05505E+02
1.2779236E+04,-1.06325E+02
1.2969971E+04,-1.05525E+02
1.3160706E+04,-9.67054E+01
1.3351440E+04,-9.75054E+01
1.3542175E+04,-9.90054E+01
1.3732910E+04,-9.60854E+01
1.3923645E+04,-9.61454E+01
1.4114380E+04,-1.02965E+02
1.4305115E+04,-9.88254E+01
1.4495850E+04,-9.72654E+01
1.4686584E+04,-9.73454E+01
1.4877319E+04,-9.21254E+01
1.5068054E+04,-9.35454E+01
1.5258789E+04,-1.00425E+02
1.5449524E+04,-1.12005E+02
1.5640259E+04,-9.38854E+01
1.5830994E+04,-9.33654E+01
1.6021729E+04,-9.37654E+01
1.6212463E+04,-9.49854E+01
1.6403198E+04,-1.04365E+02
1.6593933E+04,-9.41854E+01
1.6784668E+04,-9.24254E+01
1.6975403E+04,-9.44054E+01
1.7166138E+04,-9.76254E+01
1.7356873E+04,-9.73254E+01
1.7547607E+04,-1.00985E+02
1.7738342E+04,-1.04085E+02
1.7929077E+04,-1.17605E+02
1.8119812E+04,-9.75254E+01
1.8310547E+04,-9.44454E+01
1.8501282E+04,-9.81654E+01
1.8692017E+04,-1.01705E+02
1.8882751E+04,-9.92454E+01
1.9073486E+04,-9.48254E+01
1.9264221E+04,-9.19454E+01
1.9454956E+04,-9.38054E+01
1.9645691E+04,-9.85854E+01
1.9836426E+04,-9.96854E+01
2.0027161E+04,-1.06625E+02
2.0217896E+04,-1.00585E+02
2.0408630E+04,-9.19654E+01
2.0599365E+04,-9.37654E+01
2.0790100E+04,-1.00565E+02
2.0980835E+04,-1.08985E+02
2.1171570E+04,-9.99454E+01
2.1362305E+04,-9.91654E+01
2.1553040E+04,-1.03405E+02
2.1743774E+04,-1.03585E+02
2.1934509E+04,-1.00625E+02
2.2125244E+04,-1.03885E+02
2.2315979E+04,-1.01945E+02
2.2506714E+04,-9.57854E+01
2.2697449E+04,-9.33054E+01
2.2888184E+04,-9.36654E+01
2.3078918E+04,-9.72654E+01
2.3269653E+04,-1.11825E+02
2.3460388E+04,-9.65254E+01
2.3651123E+04,-9.44054E+01
2.3841858E+04,-1.00385E+02
2.4032593E+04,-1.05785E+02
2.4223328E+04,-9.70854E+01
2.4414062E+04,-9.64854E+01
2.4604797E+04,-1.01125E+02
2.4795532E+04,-9.90054E+01
2.4986267E+04,-9.77454E+01
2.5177002E+04,-9.42254E+01
2.5367737E+04,-9.91054E+01
2.5558472E+04,-1.03125E+02
2.5749207E+04,-9.49454E+01
2.5939941E+04,-9.46254E+01
2.6130676E+04,-1.06805E+02
2.6321411E+04,-9.67254E+01
2.6512146E+04,-9.22054E+01
2.6702881E+04,-9.48454E+01
2.6893616E+04,-1.02585E+02
2.7084351E+04,-1.01885E+02
2.7275085E+04,-9.59054E+01
2.7465820E+04,-9.50054E+01
2.7656555E+04,-1.02285E+02
2.7847290E+04,-1.04425E+02
2.8038025E+04,-9.54854E+01
2.8228760E+04,-9.47654E+01
2.8419495E+04,-1.00685E+02
2.8610229E+04,-9.48254E+01
2.8800964E+04,-9.30254E+01
2.8991699E+04,-9.55254E+01
2.9182434E+04,-1.00165E+02
2.9373169E+04,-9.96854E+01
2.9563904E+04,-9.68054E+01
2.9754639E+04,-9.70054E+01
2.9945374E+04,-9.82854E+01
3.0136108E+04,-1.04605E+02
3.0326843E+04,-9.67454E+01
3.0517578E+04,-9.31854E+01
3.0708313E+04,-9.16454E+01
3.0899048E+04,-8.98854E+01
3.1089783E+04,-9.30854E+01
3.1280518E+04,-9.71654E+01
3.1471252E+04,-9.83654E+01
3.1661987E+04,-1.07045E+02
3.1852722E+04,-1.10925E+02
3.2043457E+04,-1.00185E+02
3.2234192E+04,-9.45054E+01
3.2424927E+04,-9.34054E+01
3.2615662E+04,-9.72254E+01
3.2806396E+04,-1.00125E+02
3.2997131E+04,-9.88654E+01
3.3187866E+04,-1.11285E+02
3.3378601E+04,-9.84654E+01
3.3569336E+04,-9.78654E+01
3.3760071E+04,-9.98454E+01
3.3950806E+04,-9.88654E+01
3.4141541E+04,-9.30254E+01
3.4332275E+04,-9.42654E+01
3.4523010E+04,-9.85854E+01
3.4713745E+04,-9.89454E+01
3.4904480E+04,-1.03585E+02
3.5095215E+04,-9.65254E+01
3.5285950E+04,-1.13625E+02
3.5476685E+04,-9.74254E+01
3.5667419E+04,-9.94454E+01
3.5858154E+04,-1.06325E+02
3.6048889E+04,-9.78254E+01
3.6239624E+04,-9.30254E+01
3.6430359E+04,-9.41454E+01
3.6621094E+04,-9.88454E+01
3.6811829E+04,-9.98454E+01
3.7002563E+04,-9.61454E+01
3.7193298E+04,-9.54454E+01
3.7384033E+04,-1.00665E+02
3.7574768E+04,-1.07385E+02
3.7765503E+04,-1.04445E+02
3.7956238E+04,-9.76454E+01
3.8146973E+04,-9.36654E+01
3.8337708E+04,-1.00025E+02
3.8528442E+04,-1.06445E+02
3.8719177E+04,-9.86654E+01
3.8909912E+04,-1.00525E+02
3.9100647E+04,-9.94854E+01
3.9291382E+04,-9.49854E+01
3.9482117E+04,-9.64454E+01
3.9672852E+04,-9.78654E+01
3.9863586E+04,-1.06165E+02
4.0054321E+04,-1.08205E+02
4.0245056E+04,-9.53654E+01
4.0435791E+04,-9.87054E+01
4.0626526E+04,-1.07985E+02
4.0817261E+04,-9.88454E+01
4.1007996E+04,-9.64854E+01
4.1198730E+04,-1.04085E+02
4.1389465E+04,-1.11645E+02
4.1580200E+04,-1.04505E+02
4.1770935E+04,-9.30854E+01
4.1961670E+04,-8.98854E+01
4.2152405E+04,-9.09654E+01
4.2343140E+04,-9.50054E+01
4.2533875E+04,-9.97454E+01
4.2724609E+04,-9.76454E+01
4.2915344E+04,-1.00645E+02
4.3106079E+04,-1.04005E+02
4.3296814E+04,-1.07865E+02
4.3487549E+04,-1.03225E+02
4.3678284E+04,-9.95254E+01
4.3869019E+04,-1.02685E+02
4.4059753E+04,-1.09205E+02
4.4250488E+04,-9.31854E+01
4.4441223E+04,-8.98254E+01
4.4631958E+04,-9.54254E+01
4.4822693E+04,-1.01325E+02
4.5013428E+04,-9.87454E+01
4.5204163E+04,-9.37054E+01
4.5394897E+04,-9.96054E+01
4.5585632E+04,-1.21905E+02
