[s],CH2[V]
6.60100E-06,4.227E-01
6.60200E-06,4.187E-01
6.60300E-06,4.227E-01
6.60400E-06,4.227E-01
6.60500E-06,4.227E-01
6.60600E-06,4.227E-01
6.60700E-06,4.227E-01
6.60800E-06,4.227E-01
6.60900E-06,4.227E-01
6.61000E-06,4.187E-01
6.61100E-06,4.187E-01
6.61200E-06,4.187E-01
6.61300E-06,4.187E-01
6.61400E-06,4.187E-01
6.61500E-06,4.187E-01
6.61600E-06,4.227E-01
6.61700E-06,4.227E-01
6.61800E-06,4.227E-01
6.61900E-06,4.227E-01
6.62000E-06,4.187E-01
6.62100E-06,4.187E-01
6.62200E-06,4.187E-01
6.62300E-06,4.187E-01
6.62400E-06,4.227E-01
6.62500E-06,4.227E-01
6.62600E-06,4.227E-01
6.62700E-06,4.187E-01
6.62800E-06,4.187E-01
6.62900E-06,4.187E-01
6.63000E-06,4.187E-01
6.63100E-06,4.227E-01
6.63200E-06,4.227E-01
6.63300E-06,4.187E-01
6.63400E-06,4.187E-01
6.63500E-06,4.187E-01
6.63600E-06,4.147E-01
6.63700E-06,4.187E-01
6.63800E-06,4.187E-01
6.63900E-06,4.147E-01
6.64000E-06,4.147E-01
6.64100E-06,4.147E-01
6.64200E-06,4.147E-01
6.64300E-06,4.147E-01
6.64400E-06,4.107E-01
6.64500E-06,4.107E-01
6.64600E-06,4.107E-01
6.64700E-06,4.107E-01
6.64800E-06,4.147E-01
6.64900E-06,4.107E-01
6.65000E-06,4.107E-01
6.65100E-06,4.107E-01
6.65200E-06,4.107E-01
6.65300E-06,4.107E-01
6.65400E-06,4.107E-01
6.65500E-06,4.067E-01
6.65600E-06,4.067E-01
6.65700E-06,4.067E-01
6.65800E-06,4.107E-01
6.65900E-06,4.067E-01
6.66000E-06,4.067E-01
6.66100E-06,4.027E-01
6.66200E-06,4.067E-01
6.66300E-06,4.027E-01
6.66400E-06,4.067E-01
6.66500E-06,4.067E-01
6.66600E-06,4.027E-01
6.66700E-06,4.027E-01
6.66800E-06,3.987E-01
6.66900E-06,3.987E-01
6.67000E-06,3.987E-01
6.67100E-06,3.987E-01
6.67200E-06,3.987E-01
6.67300E-06,3.987E-01
6.67400E-06,3.987E-01
6.67500E-06,3.987E-01
6.67600E-06,3.987E-01
6.67700E-06,3.987E-01
6.67800E-06,3.987E-01
6.67900E-06,3.947E-01
6.68000E-06,3.907E-01
6.68100E-06,3.867E-01
6.68200E-06,3.907E-01
6.68300E-06,3.907E-01
