
Zeit;Weg;Kraft;Biegespannung;
s;mm;N;N/mm²;
0.00;0.010;-1.20;-0.18;
0.01;0.011;-0.80;-0.12;
0.01;0.012;-0.70;-0.10;
0.02;0.013;-0.50;-0.07;
0.03;0.014;-0.00;-0.00;
0.03;0.014;-0.10;-0.01;
0.04;0.015;-0.00;-0.00;
0.04;0.016;-0.10;-0.01;
0.05;0.017;-1.00;-0.15;
0.05;0.018;-1.30;-0.19;
0.05;0.019;-1.50;-0.22;
0.06;0.020;-1.60;-0.23;
0.06;0.021;-0.50;-0.07;
0.07;0.021;-0.30;-0.04;
0.08;0.022;-0.00;-0.00;
0.08;0.023;0.40;0.06;
0.09;0.023;-0.00;-0.00;
0.09;0.024;-0.00;-0.00;
0.09;0.025;0.30;0.04;
0.10;0.025;0.90;0.13;
0.10;0.026;0.70;0.10;
0.11;0.027;-0.00;-0.00;
0.12;0.028;-0.20;-0.03;
0.12;0.029;-0.90;-0.13;
0.13;0.030;0.30;0.04;
0.13;0.030;0.90;0.13;
0.14;0.031;0.60;0.09;
0.14;0.032;0.70;0.10;
0.14;0.032;-0.50;-0.07;
0.15;0.033;-0.20;-0.03;
0.16;0.034;0.30;0.04;
0.16;0.034;0.90;0.13;
0.17;0.035;1.60;0.23;
0.17;0.036;1.40;0.20;
0.17;0.036;1.00;0.15;
0.18;0.037;0.80;0.12;
0.19;0.038;1.30;0.19;
0.19;0.038;1.50;0.22;
0.19;0.039;1.90;0.28;
0.20;0.040;1.40;0.20;
0.20;0.041;0.40;0.06;
0.21;0.041;-0.00;-0.00;
0.22;0.041;-0.20;-0.03;
0.22;0.043;-0.30;-0.04;
0.22;0.043;-0.80;-0.12;
0.23;0.043;-0.70;-0.10;
0.23;0.045;-0.60;-0.09;
0.24;0.045;-0.10;-0.01;
0.25;0.045;0.20;0.03;
0.25;0.047;-0.40;-0.06;
0.25;0.047;-0.80;-0.12;
0.26;0.047;-1.20;-0.18;
0.26;0.049;-0.90;-0.13;
0.27;0.049;-0.20;-0.03;
0.28;0.050;-0.30;-0.04;
0.28;0.051;0.30;0.04;
0.28;0.051;0.70;0.10;
0.29;0.052;0.90;0.13;
0.29;0.052;1.10;0.16;
0.30;0.053;1.00;0.15;
0.31;0.054;0.70;0.10;
0.31;0.054;0.40;0.06;
0.31;0.055;0.60;0.09;
0.32;0.056;1.20;0.18;
0.32;0.056;1.00;0.15;
0.33;0.057;1.20;0.18;
0.34;0.058;0.90;0.13;
0.34;0.058;-0.00;-0.00;
0.34;0.059;0.20;0.03;
0.35;0.060;0.10;0.01;
0.35;0.060;-0.90;-0.13;
0.36;0.061;-0.60;-0.09;
0.37;0.062;-0.90;-0.13;
0.37;0.063;-0.70;-0.10;
0.38;0.063;0.30;0.04;
0.38;0.064;-0.00;-0.00;
0.38;0.064;0.50;0.07;
0.39;0.065;0.20;0.03;
0.40;0.066;0.90;0.13;
0.40;0.067;0.20;0.03;
0.41;0.068;-0.10;-0.01;
0.41;0.068;-0.40;-0.06;
0.41;0.068;-1.00;-0.15;
0.42;0.069;0.10;0.01;
0.43;0.070;-0.00;-0.00;
0.43;0.071;-0.00;-0.00;
0.44;0.071;0.50;0.07;
0.44;0.072;0.10;0.01;
0.44;0.072;0.40;0.06;
0.45;0.073;0.50;0.07;
0.46;0.074;0.20;0.03;
0.46;0.075;0.60;0.09;
0.47;0.075;1.00;0.15;
0.47;0.076;1.30;0.19;
0.47;0.076;0.80;0.12;
0.48;0.077;0.80;0.12;
0.49;0.078;0.10;0.01;
0.49;0.079;-0.40;-0.06;
0.50;0.079;-0.40;-0.06;
0.50;0.080;-0.90;-0.13;
0.50;0.080;-1.00;-0.15;
0.51;0.081;-0.10;-0.01;
0.51;0.082;-0.00;-0.00;
0.52;0.083;0.10;0.01;
0.52;0.083;0.30;0.04;
0.53;0.084;0.10;0.01;
0.54;0.084;0.10;0.01;
0.54;0.085;0.30;0.04;
0.55;0.086;0.30;0.04;
0.55;0.086;0.40;0.06;
0.56;0.087;1.10;0.16;
0.56;0.088;0.70;0.10;
0.56;0.089;0.60;0.09;
0.57;0.089;0.50;0.07;
