t,x,F,def
0,00;0,011;9,40;1
1,50;0,214;11,00;1
3,01;0,414;11,30;1
4,51;0,614;14,30;2
6,01;0,814;15,30;2
7,51;1,014;17,30;2
9,01;1,214;18,80;2
10,51;1,414;21,70;3
12,01;1,614;22,20;3
13,51;1,814;23,10;3
15,01;2,014;25,30;3
16,50;2,214;27,70;4
18,00;2,414;27,20;3
19,50;2,614;30,40;4
21,00;2,814;33,30;4
22,50;3,014;32,20;4
24,00;3,214;35,10;5
25,50;3,414;36,40;5
27,00;3,614;38,80;5
28,50;3,814;39,50;5
30,00;4,014;42,00;6
31,50;4,214;43,70;6
33,01;4,414;45,50;6
34,51;4,614;48,10;7
36,01;4,814;49,00;7
37,51;5,014;49,30;7
39,01;5,214;52,70;7
40,51;5,414;53,00;7
42,01;5,614;55,20;8
43,51;5,814;57,40;8
45,01;6,014;58,50;8
46,51;6,214;60,30;8
48,01;6,414;61,70;9
49,51;6,614;63,60;9
51,01;6,814;64,50;9
52,51;7,014;67,00;9
54,01;7,214;69,60;10
55,51;7,414;69,80;10
57,01;7,614;72,30;10
58,51;7,814;73,90;10
60,01;8,014;76,20;11
61,51;8,214;76,80;11
63,01;8,414;79,20;11
64,50;8,614;80,40;11
66,00;8,814;83,20;12
67,50;9,014;84,70;12
69,00;9,214;86,40;12
70,50;9,414;87,20;12
72,00;9,614;88,60;12
73,50;9,814;91,70;13
75,00;10,014;93,40;13
76,50;10,214;95,60;13
78,00;10,414;97,90;14
79,50;10,614;98,80;14
81,00;10,814;99,90;14
82,50;11,014;100,90;14
84,00;11,214;104,10;15
85,50;11,414;105,60;15
87,00;11,614;106,90;15
88,50;11,814;108,50;15
90,00;12,014;110,30;16
91,50;12,214;112,20;16
93,00;12,414;113,00;16
94,50;12,614;115,90;16
96,00;12,814;116,70;17
97,50;13,014;118,10;17
99,00;13,214;119,80;17
100,50;13,414;120,70;17
102,00;13,614;123,90;18
103,50;13,814;127,10;18
105,00;14,014;126,80;18
106,50;14,214;127,10;18
108,00;14,414;129,40;18
109,50;14,614;131,00;19
111,00;14,814;131,80;19
112,50;15,014;132,20;19
114,00;15,214;135,10;19
115,50;15,414;136,10;19
117,00;15,614;138,20;20
118,50;15,814;140,50;20
120,00;16,014;141,70;20
121,50;16,213;142,00;20
123,00;16,413;145,20;21
124,50;16,614;145,60;21
126,00;16,813;147,60;21
127,50;17,014;148,10;21
129,01;17,213;149,20;21
130,51;17,413;150,80;22
132,01;17,614;151,20;22
133,51;17,813;153,20;22
135,01;18,014;154,50;22
136,51;18,213;155,50;22
138,01;18,413;156,40;22
139,51;18,614;157,50;23
141,01;18,813;159,70;23
142,51;19,014;160,40;23
144,01;19,213;161,90;23
145,51;19,413;163,50;23
147,01;19,614;165,70;24
148,51;19,813;166,30;24
150,01;20,014;167,50;24
151,51;20,213;169,00;24
153,01;20,413;169,70;24
154,51;20,614;170,20;24
156,01;20,813;171,20;25
157,51;21,014;173,00;25
159,01;21,213;173,40;25
160,51;21,413;176,20;25
162,01;21,614;174,80;25
163,51;21,813;176,90;25
165,01;22,014;177,80;25
166,51;22,213;177,60;25
168,01;22,413;178,60;26
169,51;22,614;179,60;26
171,01;22,813;180,90;26
172,51;23,014;181,00;26
174,01;23,213;181,70;26
175,51;23,413;182,70;26
177,01;23,614;182,40;26
178,51;23,813;184,20;26
180,01;24,014;186,30;27
181,51;24,213;185,90;27
183,01;24,413;187,10;27
184,51;24,614;186,50;27
186,01;24,813;187,10;27
187,51;25,014;188,40;27
189,01;25,213;189,20;27
190,51;25,413;188,70;27
192,01;25,614;190,90;27
193,51;25,813;191,60;27
195,01;26,014;191,80;28
196,51;26,213;193,00;28
198,01;26,413;192,70;28
199,51;26,614;193,10;28
201,01;26,813;193,90;28
202,51;27,014;194,90;28
204,01;27,213;196,40;28
205,51;27,413;197,00;28
207,01;27,614;197,40;28
208,51;27,813;197,70;28
210,01;28,014;198,40;28
211,51;28,213;199,20;29
213,01;28,413;199,90;29
214,51;28,614;199,90;29
216,01;28,813;199,80;29
217,51;29,014;201,70;29
219,01;29,213;201,20;29
220,51;29,413;201,90;29
222,01;29,614;202,70;29
223,51;29,813;204,10;29
225,01;30,014;204,30;29
226,51;30,213;205,30;29
228,01;30,413;205,50;30
229,51;30,614;206,70;30
231,01;30,813;207,20;30
232,51;31,014;207,50;30
234,01;31,213;207,50;30
