t,x,F,def
0.0,0.01,8.6,1.26
1.5,0.214,10.9,1.59
3.01,0.414,13.0,1.9
4.51,0.614,18.1,2.64
6.01,0.814,19.4,2.83
7.51,1.014,21.4,3.13
9.01,1.214,24.8,3.62
10.51,1.414,28.3,4.13
12.01,1.614,29.8,4.35
13.51,1.814,33.1,4.84
15.01,2.014,36.0,5.26
16.5,2.214,39.7,5.8
18.0,2.414,41.5,6.06
19.5,2.614,45.5,6.65
21.0,2.814,48.1,7.03
22.5,3.014,50.7,7.41
24.0,3.214,53.2,7.77
25.5,3.414,56.4,8.24
27.0,3.614,59.7,8.72
28.5,3.814,62.5,9.13
30.0,4.014,63.9,9.34
31.5,4.214,68.3,9.98
33.01,4.414,70.1,10.24
34.51,4.614,73.9,10.8
36.01,4.814,77.1,11.26
37.51,5.014,81.1,11.85
39.01,5.214,83.3,12.17
40.51,5.414,85.5,12.49
42.01,5.614,89.6,13.09
43.51,5.814,94.2,13.76
45.01,6.014,97.2,14.2
46.51,6.214,99.6,14.55
48.01,6.414,101.1,14.77
49.51,6.614,105.8,15.46
51.01,6.814,108.3,15.82
52.51,7.014,111.9,16.35
54.01,7.214,115.5,16.87
55.51,7.414,118.8,17.36
57.01,7.614,122.5,17.9
58.51,7.813,124.3,18.16
60.01,8.014,127.2,18.58
61.51,8.214,131.0,19.14
63.01,8.414,132.4,19.34
64.5,8.614,136.0,19.87
66.0,8.814,140.5,20.53
67.5,9.014,143.1,20.91
69.0,9.214,143.6,20.98
70.5,9.414,149.4,21.83
72.0,9.614,151.0,22.06
73.5,9.814,153.4,22.41
75.0,10.014,157.5,23.01
76.5,10.214,159.6,23.32
78.0,10.414,162.1,23.68
79.5,10.614,165.8,24.22
81.0,10.814,167.5,24.47
82.5,11.014,170.8,24.95
84.0,11.214,173.1,25.29
85.5,11.414,176.0,25.71
87.0,11.614,180.1,26.31
88.5,11.814,180.8,26.41
90.0,12.014,183.9,26.87
91.5,12.214,186.2,27.2
93.0,12.414,189.0,27.61
94.5,12.614,190.5,27.83
96.0,12.814,194.7,28.44
97.5,13.014,196.8,28.75
99.0,13.214,197.7,28.88
100.5,13.414,202.0,29.51
102.0,13.614,204.1,29.82
103.5,13.814,206.5,30.17
105.0,14.014,209.5,30.61
106.5,14.214,212.0,30.97
108.0,14.414,213.4,31.18
109.5,14.614,217.5,31.78
111.0,14.814,217.4,31.76
112.5,15.014,220.3,32.18
114.0,15.214,223.5,32.65
115.5,15.413,225.7,32.97
117.0,15.614,228.0,33.31
118.5,15.814,230.9,33.73
120.0,16.014,233.3,34.08
121.5,16.213,234.2,34.21
123.0,16.413,237.8,34.74
124.5,16.614,239.4,34.97
126.0,16.813,241.1,35.22
127.5,17.014,244.3,35.69
129.01,17.213,245.5,35.87
130.51,17.413,246.9,36.07
132.01,17.614,251.3,36.71
133.51,17.813,253.0,36.96
135.01,18.014,254.1,37.12
136.51,18.213,256.2,37.43
138.01,18.413,258.1,37.71
139.51,18.614,260.2,38.01
141.01,18.813,263.0,38.42
142.51,19.014,263.6,38.51
144.01,19.213,266.7,38.96
145.51,19.413,268.1,39.17
147.01,19.614,270.4,39.5
148.51,19.813,271.8,39.71
150.01,20.014,274.1,40.04
151.51,20.213,274.9,40.16
153.01,20.413,278.6,40.7
154.51,20.614,281.1,41.07
156.01,20.813,281.4,41.11
157.51,21.014,281.5,41.12
159.01,21.213,284.8,41.61
160.51,21.413,285.2,41.67
162.01,21.614,287.7,42.03
163.51,21.813,289.0,42.22
165.01,22.014,291.2,42.54
166.51,22.213,293.1,42.82
168.01,22.413,295.9,43.23
169.51,22.614,295.7,43.2
171.01,22.813,297.8,43.51
172.51,23.014,298.6,43.62
174.01,23.213,300.3,43.87
175.51,23.413,302.9,44.25
177.01,23.614,303.9,44.4
178.51,23.813,305.4,44.62
180.01,24.014,308.7,45.1
181.51,24.213,307.1,44.86
183.01,24.413,309.9,45.27
184.51,24.614,310.6,45.38
186.01,24.813,312.4,45.64
187.51,25.014,313.2,45.76
189.01,25.213,315.1,46.03
190.51,25.413,315.8,46.14
192.01,25.614,318.3,46.5
193.51,25.813,318.6,46.54
195.01,26.014,320.7,46.85
196.51,26.213,321.0,46.9
198.01,26.413,323.9,47.32
199.51,26.614,324.7,47.44
201.01,26.813,324.1,47.35
202.51,27.014,326.7,47.73
204.01,27.213,328.3,47.96
205.51,27.413,328.7,48.02
207.01,27.614,330.1,48.22
208.51,27.813,330.7,48.31
210.01,28.014,333.0,48.65
211.51,28.213,333.3,48.69
213.01,28.413,335.5,49.01
214.51,28.614,334.8,48.91
216.01,28.813,336.3,49.13
217.51,29.014,337.5,49.31
219.01,29.213,339.0,49.53
220.51,29.413,339.3,49.57
222.01,29.614,340.8,49.79
223.51,29.813,342.7,50.07
225.01,30.014,342.8,50.08
226.51,30.213,343.5,50.18
228.01,30.413,346.7,50.65
229.51,30.614,347.3,50.74
231.01,30.813,348.2,50.87
232.51,31.014,347.3,50.74
234.01,31.213,349.3,51.03
235.51,31.413,350.4,51.19
237.01,31.614,350.0,51.13
238.51,31.813,351.5,51.35
240.01,32.014,352.4,51.48
241.51,32.214,353.8,51.69
243.01,32.414,355.0,51.86
244.51,32.613,356.1,52.02
246.01,32.813,356.6,52.1
247.51,33.014,356.2,52.04
249.01,33.214,356.1,52.02
250.51,33.414,356.9,52.14
252.01,33.613,356.7,52.11
253.51,33.813,357.1,52.17
255.01,34.014,359.2,52.48
256.51,34.214,358.3,52.34
258.01,34.414,360.5,52.67
259.51,34.613,361.3,52.78
261.01,34.813,359.6,52.53
262.51,35.014,360.2,52.62
264.01,35.214,359.8,52.56
265.51,35.414,361.8,52.86
267.01,35.613,361.9,52.87
268.51,35.813,361.1,52.75
270.01,36.014,362.1,52.9
271.51,36.214,363.5,53.1
273.01,36.414,361.6,52.83
274.51,36.613,362.9,53.02
276.01,36.813,363.1,53.05
277.51,37.014,364.9,53.31
279.01,37.214,364.7,53.28
280.51,37.414,365.2,53.35
282.01,37.613,366.2,53.5
283.51,37.813,365.3,53.37
285.01,38.014,366.2,53.5
286.51,38.214,366.2,53.5
288.01,38.414,366.3,53.51
289.51,38.613,365.9,53.46
291.01,38.813,366.5,53.54
292.51,39.014,366.6,53.56
294.01,39.214,367.5,53.69
295.51,39.414,365.6,53.41
297.01,39.613,366.3,53.51
298.51,39.813,367.3,53.66
300.01,40.014,366.2,53.5
301.51,40.214,366.2,53.5
303.01,40.414,367.7,53.72
304.51,40.613,367.3,53.66
306.01,40.813,368.7,53.86
307.51,41.014,366.6,53.56
309.01,41.214,368.2,53.79
310.51,41.414,368.2,53.79
312.01,41.613,368.2,53.79
313.51,41.813,367.3,53.66
315.01,42.014,366.4,53.53
316.51,42.214,366.3,53.51
318.01,42.414,366.4,53.53
319.51,42.613,366.6,53.56
321.01,42.813,366.0,53.47
322.51,43.014,367.5,53.69
324.01,43.213,366.9,53.6
325.51,43.414,367.1,53.63
327.01,43.613,366.7,53.57
328.51,43.813,367.0,53.62
330.01,44.014,366.1,53.48
331.51,44.214,366.4,53.53
333.01,44.414,365.0,53.32
334.51,44.613,365.0,53.32
336.01,44.813,366.5,53.54
337.51,45.014,366.5,53.54
339.01,45.214,365.7,53.43
340.51,45.414,365.0,53.32
342.01,45.613,365.1,53.34
343.51,45.813,364.1,53.19
345.01,46.013,363.0,53.03
346.51,46.213,364.5,53.25
348.01,46.414,364.8,53.29
349.51,46.613,364.1,53.19
351.01,46.813,364.0,53.18
352.51,47.013,364.1,53.19
354.01,47.213,363.5,53.1
355.51,47.413,363.8,53.15
357.01,47.613,363.6,53.12
358.51,47.813,363.3,53.08
360.01,48.013,362.0,52.89
361.51,48.213,362.9,53.02
363.01,48.413,362.4,52.94
364.51,48.613,362.2,52.91
366.01,48.813,361.1,52.75
367.51,49.013,361.7,52.84
369.01,49.213,361.3,52.78
370.51,49.413,359.6,52.53
372.01,49.613,360.1,52.61
373.51,49.813,358.9,52.43
375.01,50.013,359.5,52.52
376.51,50.213,358.5,52.37
378.01,50.413,357.7,52.26
379.51,50.613,358.3,52.34
381.01,50.813,358.2,52.33
382.51,51.013,358.6,52.39
384.01,51.213,357.7,52.26
385.51,51.413,356.6,52.1
387.01,51.613,356.3,52.05
388.51,51.813,356.0,52.01
390.01,52.013,355.6,51.95
391.51,52.213,356.5,52.08
