t,x,F,def
0.0,0.01,-1.2,-0.18
0.38,0.064,-0.0,-0.0
0.75,0.113,1.1,0.16
1.13,0.164,-0.2,-0.03
1.5,0.214,0.9,0.13
1.88,0.264,0.7,0.1
2.26,0.314,-0.0,-0.0
2.63,0.364,0.2,0.03
3.01,0.414,0.3,0.04
3.38,0.464,0.2,0.03
3.76,0.514,1.5,0.22
4.13,0.564,-1.3,-0.19
4.51,0.613,-0.1,-0.01
4.88,0.664,-0.9,-0.13
5.26,0.714,-0.1,-0.01
5.63,0.764,-0.5,-0.07
6.01,0.814,1.7,0.25
6.38,0.864,1.4,0.2
6.76,0.914,0.3,0.04
7.13,0.964,1.1,0.16
7.51,1.014,0.2,0.03
7.88,1.064,-0.2,-0.03
8.26,1.113,-0.3,-0.04
8.63,1.164,-0.4,-0.06
9.01,1.214,-0.1,-0.01
9.38,1.264,0.1,0.01
9.76,1.314,-1.5,-0.22
10.13,1.363,1.2,0.18
10.51,1.414,0.9,0.13
10.88,1.464,0.4,0.06
11.26,1.514,0.5,0.07
11.63,1.564,0.3,0.04
12.01,1.612,-0.1,-0.01
12.38,1.663,1.1,0.16
12.76,1.716,-1.2,-0.18
13.13,1.763,1.0,0.15
13.51,1.817,-0.8,-0.12
13.88,1.862,-0.0,-0.0
14.26,1.916,0.8,0.12
14.63,1.964,0.6,0.09
15.01,2.014,0.2,0.03
15.38,2.064,-0.3,-0.04
15.76,2.114,-0.8,-0.12
16.13,2.164,-0.0,-0.0
16.5,2.214,-0.6,-0.09
16.88,2.264,-0.3,-0.04
17.25,2.314,0.6,0.09
17.63,2.364,0.4,0.06
18.0,2.414,0.4,0.06
18.38,2.464,-0.1,-0.01
18.75,2.514,-1.1,-0.16
19.13,2.564,0.2,0.03
19.5,2.614,0.1,0.01
19.88,2.664,-1.1,-0.16
20.25,2.714,-0.1,-0.01
20.63,2.764,1.5,0.22
21.0,2.814,1.0,0.15
21.38,2.864,0.1,0.01
21.75,2.914,-1.2,-0.18
22.13,2.964,1.4,0.2
22.5,3.014,-0.5,-0.07
22.88,3.064,-0.6,-0.09
23.25,3.114,-0.9,-0.13
23.63,3.164,-0.5,-0.07
24.0,3.214,0.1,0.01
24.38,3.264,-0.3,-0.04
24.75,3.314,0.1,0.01
25.13,3.364,-1.5,-0.22
25.5,3.414,0.5,0.07
25.88,3.464,-0.2,-0.03
26.25,3.514,-0.5,-0.07
26.63,3.564,-0.4,-0.06
27.0,3.614,0.1,0.01
27.38,3.664,1.6,0.23
27.75,3.714,-1.1,-0.16
28.13,3.764,-0.1,-0.01
28.5,3.814,-0.5,-0.07
28.88,3.864,-0.8,-0.12
29.25,3.914,0.3,0.04
29.63,3.964,0.7,0.1
30.0,4.014,-0.4,-0.06
30.38,4.064,1.2,0.18
30.75,4.114,0.6,0.09
31.13,4.164,0.6,0.09
31.5,4.214,-0.1,-0.01
31.88,4.264,0.2,0.03
32.26,4.314,0.2,0.03
32.63,4.364,0.2,0.03
33.01,4.414,1.0,0.15
33.38,4.464,0.5,0.07
33.76,4.514,0.7,0.1
34.13,4.564,0.6,0.09
34.51,4.614,0.4,0.06
34.88,4.664,-0.1,-0.01
35.26,4.714,-0.0,-0.0
35.63,4.764,-0.3,-0.04
36.01,4.814,-0.9,-0.13
36.38,4.864,1.0,0.15
36.76,4.914,0.5,0.07
37.13,4.964,0.7,0.1
37.51,5.014,-0.5,-0.07
37.88,5.064,0.9,0.13
38.26,5.114,-0.4,-0.06
38.63,5.164,3.4,0.5
39.01,5.214,6.9,1.01
39.38,5.264,8.9,1.3
39.76,5.314,11.1,1.62
40.13,5.364,12.6,1.84
40.51,5.414,15.9,2.32
40.88,5.464,21.8,3.18
41.26,5.514,33.2,4.85
41.63,5.564,46.4,6.78
42.01,5.614,66.7,9.74
42.38,5.661,95.8,14.0
42.76,5.714,130.6,19.08
43.13,5.764,165.8,24.22
43.51,5.814,202.2,29.54
43.88,5.864,243.1,35.51
44.26,5.913,282.3,41.24
44.63,5.964,326.3,47.67
45.01,6.014,368.7,53.86
45.38,6.064,414.9,60.61
45.76,6.114,459.0,67.06
46.13,6.163,504.1,73.64
46.51,6.214,552.3,80.69
46.88,6.264,606.4,88.59
47.26,6.314,659.6,96.36
47.63,6.364,714.3,104.35
48.01,6.413,770.9,112.62
48.38,6.464,827.7,120.92
48.76,6.514,884.0,129.15
49.13,6.564,940.5,137.4
49.51,6.614,998.6,145.89
49.88,6.663,1057.5,154.49
50.26,6.714,1116.6,163.13
50.63,6.764,1178.5,172.17
51.01,6.814,1240.3,181.2
51.38,6.864,1300.8,190.04
51.76,6.913,1360.5,198.76
52.13,6.964,1419.7,207.41
52.51,7.014,1484.9,216.93
52.88,7.064,1548.9,226.28
53.26,7.114,1616.3,236.13
53.63,7.163,1689.5,246.82
54.01,7.214,1765.2,257.88
54.38,7.264,1839.6,268.75
54.76,7.314,1915.0,279.77
55.13,7.364,1989.1,290.59
55.51,7.413,2063.8,301.5
55.88,7.464,2139.0,312.49
56.26,7.514,2213.3,323.35
56.63,7.564,2290.9,334.68
57.01,7.614,2371.5,346.46
57.38,7.663,2450.3,357.97
57.76,7.714,2527.4,369.23
58.13,7.764,2606.3,380.76
58.51,7.814,2663.1,389.06
58.88,7.864,2741.2,400.47
59.26,7.913,2827.6,413.09
59.63,7.964,2912.1,425.43
60.01,8.014,2998.3,438.03
60.38,8.064,3086.2,450.87
60.76,8.113,3176.7,464.09
61.13,8.163,3271.8,477.98
61.51,8.214,3367.6,491.98
61.88,8.264,3464.1,506.08
62.26,8.314,3560.6,520.18
62.63,8.363,3655.3,534.01
63.01,8.413,3753.6,548.37
63.38,8.464,3853.6,562.98
63.76,8.514,3952.2,577.38
64.13,8.564,4051.1,591.83
64.5,8.613,4146.6,605.79
64.88,8.663,4245.7,620.26
65.25,8.714,4348.7,635.31
65.63,8.764,4447.7,649.77
66.0,8.814,4550.5,664.79
66.38,8.863,4649.1,679.2
66.75,8.913,4750.5,694.01
67.13,8.964,4854.7,709.23
67.5,9.014,4952.2,723.48
67.88,9.064,5052.3,738.1
68.25,9.113,5151.6,752.61
68.63,9.163,5253.8,767.54
69.0,9.214,5350.7,781.69
69.38,9.264,5449.0,796.06
69.75,9.314,5545.4,810.14
70.13,9.363,5638.6,823.75
70.5,9.413,5732.1,837.41
70.88,9.464,5818.2,849.99
71.25,9.514,5898.8,861.77
71.63,9.564,5961.9,870.99
72.0,9.613,5896.6,861.45
72.38,9.663,5469.0,798.98
72.75,9.714,5353.3,782.07
73.13,9.764,5337.0,779.69
73.5,9.814,5356.4,782.53
73.88,9.863,5389.6,787.38
74.25,9.913,5436.0,794.16
74.63,9.964,5479.2,800.47
75.0,10.014,5519.3,806.33
75.38,10.064,5558.7,812.08
75.75,10.113,5596.2,817.56
76.13,10.163,5632.7,822.89
76.5,10.214,5661.8,827.14
76.88,10.264,5692.3,831.6
77.25,10.314,5711.5,834.4
77.63,10.363,5726.9,836.65
78.0,10.413,5738.1,838.29
78.38,10.464,5756.2,840.94
78.75,10.514,5773.4,843.45
79.13,10.564,5782.4,844.76
79.5,10.613,5718.4,835.41
79.88,10.663,5658.1,826.6
80.25,10.714,5654.4,826.06
80.63,10.764,5659.9,826.87
81.0,10.814,5676.4,829.28
81.38,10.863,5695.3,832.04
81.75,10.913,5713.8,834.74
82.13,10.964,5715.0,834.92
82.5,11.014,5716.0,835.06
82.88,11.064,5701.3,832.91
83.25,11.113,5665.9,827.74
83.63,11.163,5641.3,824.15
84.0,11.214,5621.4,821.24
84.38,11.264,5607.1,819.15
84.75,11.314,5595.6,817.47
85.13,11.363,5597.6,817.76
85.5,11.413,5588.8,816.48
85.88,11.464,5153.8,752.93
86.25,11.514,5131.8,749.72
86.63,11.564,5136.4,750.39
87.0,11.613,5158.7,753.65
87.38,11.663,5185.7,757.59
87.75,11.714,5204.3,760.31
88.13,11.764,5225.0,763.33
88.5,11.814,5248.4,766.75
88.88,11.863,5273.2,770.37
89.25,11.913,5296.8,773.82
89.63,11.964,5324.4,777.85
90.0,12.014,5353.0,782.03
90.38,12.064,5375.0,785.24
90.75,12.113,5399.4,788.81
91.13,12.163,5425.8,792.67
91.5,12.214,5448.3,795.95
91.88,12.264,5467.9,798.82
92.25,12.314,5483.6,801.11
92.63,12.363,5497.4,803.13
93.0,12.413,5517.4,806.05
93.38,12.464,5531.2,808.06
93.75,12.514,5543.1,809.8
94.13,12.564,5552.8,811.22
94.5,12.613,5550.8,810.93
94.88,12.663,5549.4,810.72
95.25,12.714,5554.4,811.45
95.63,12.764,5561.9,812.55
96.0,12.814,5593.1,817.11
96.38,12.863,5425.6,792.64
96.75,12.913,5165.5,754.64
97.13,12.964,5023.0,733.82
97.5,13.014,4610.9,673.62
97.88,13.064,4646.3,678.79
98.25,13.113,4414.5,644.92
98.63,13.163,4391.3,641.53
99.0,13.214,4405.0,643.54
99.38,13.264,4394.1,641.94
99.75,13.314,4375.1,639.17
100.13,13.363,4398.4,642.57
100.5,13.413,4280.2,625.3
100.88,13.464,4157.7,607.41
101.25,13.514,4175.9,610.07
101.63,13.564,4190.5,612.2
102.0,13.613,4236.1,618.86
102.38,13.663,4259.5,622.28
102.75,13.714,4205.2,614.35
103.13,13.764,4161.8,608.01
103.5,13.814,4173.7,609.74
103.88,13.863,4197.4,613.21
104.25,13.913,4016.9,586.84
104.63,13.964,3071.8,448.77
105.0,14.014,2970.1,433.91
105.38,14.064,2938.3,429.26
105.75,14.113,2925.9,427.45
106.13,14.163,2874.8,419.99
106.5,14.214,2865.9,418.69
106.88,14.264,2889.2,422.09
107.25,14.314,2897.8,423.35
107.63,14.363,2897.5,423.3
108.0,14.413,2942.4,429.86
108.38,14.464,2973.9,434.46
108.75,14.514,3005.8,439.12
109.13,14.564,3028.8,442.48
109.5,14.613,3027.8,442.34
109.88,14.663,2986.1,436.25
110.25,14.714,3015.3,440.51
110.63,14.764,3043.2,444.59
111.0,14.814,3085.9,450.83
111.38,14.863,3115.3,455.12
111.75,14.913,3135.7,458.1
112.13,14.964,3152.0,460.48
112.5,15.014,3167.1,462.69
112.88,15.064,3195.1,466.78
113.25,15.113,3213.7,469.5
113.63,15.163,3245.4,474.13
114.0,15.214,3270.9,477.85
114.38,15.264,3264.1,476.86
114.75,15.314,3284.6,479.85
115.13,15.363,3300.6,482.19
115.5,15.413,3300.1,482.12
115.88,15.464,3298.9,481.94
116.25,15.514,3324.4,485.67
116.63,15.564,3332.4,486.84
117.0,15.613,3348.6,489.2
117.38,15.663,3357.4,490.49
117.75,15.714,3387.9,494.95
118.13,15.764,3408.1,497.9
118.5,15.814,3429.7,501.05
118.88,15.863,3450.7,504.12
119.25,15.913,3461.9,505.76
119.63,15.964,3450.5,504.09
120.0,16.014,3448.4,503.78
120.38,16.063,3467.0,506.5
120.75,16.114,3463.5,505.99
121.13,16.163,3482.3,508.74
121.5,16.213,3482.4,508.75
121.88,16.264,3491.2,510.04
122.25,16.314,3494.7,510.55
122.63,16.364,3486.2,509.31
123.0,16.413,3443.6,503.08
123.38,16.463,2435.6,355.82
