t,x,F,def
0,00;0,009;0,80;0
0,38;0,064;0,90;0
0,75;0,113;0,30;0
1,13;0,163;-0,20;-0
1,50;0,213;-0,10;-0
1,88;0,264;1,20;0
2,26;0,313;-0,80;-0
2,63;0,364;0,20;0
3,01;0,414;4,70;0
3,38;0,463;8,70;1
3,76;0,513;12,10;1
4,13;0,563;17,30;2
4,51;0,613;20,70;3
4,88;0,663;27,40;4
5,26;0,714;33,60;4
5,63;0,763;40,90;5
6,01;0,813;49,60;7
6,38;0,863;58,00;8
6,76;0,913;67,40;9
7,13;0,964;78,50;11
7,51;1,013;89,80;13
7,88;1,064;102,80;15
8,26;1,113;112,60;16
8,63;1,163;127,20;18
9,01;1,213;140,00;20
9,38;1,263;159,30;23
9,76;1,314;181,40;26
10,13;1,363;207,40;30
10,51;1,413;236,40;34
10,88;1,463;271,90;39
11,26;1,513;309,20;45
11,63;1,564;354,40;51
12,01;1,613;398,00;58
12,38;1,663;443,80;64
12,76;1,713;493,40;72
13,13;1,763;545,70;79
13,51;1,814;598,50;87
13,88;1,863;652,80;95
14,26;1,913;704,80;102
14,63;1,964;756,80;110
15,01;2,013;811,20;118
15,38;2,063;863,90;126
15,76;2,114;927,20;135
16,13;2,163;991,30;144
16,50;2,213;1057,90;154
16,88;2,263;1128,70;164
17,25;2,313;1202,20;175
17,63;2,364;1275,60;186
18,00;2,414;1351,40;197
18,38;2,463;1431,50;209
18,75;2,513;1513,00;221
19,13;2,563;1596,20;233
19,50;2,614;1683,40;245
19,88;2,663;1768,50;258
20,25;2,713;1857,20;271
20,63;2,763;1947,30;284
21,00;2,813;2037,00;297
21,38;2,864;2130,40;311
21,75;2,914;2221,90;324
22,13;2,963;2315,60;338
22,50;3,013;2411,00;352
22,88;3,063;2501,20;365
23,25;3,114;2587,00;377
23,63;3,163;2672,20;390
24,00;3,213;2758,20;402
24,38;3,263;2848,00;416
24,75;3,313;2935,80;428
25,13;3,363;3019,30;441
25,50;3,413;3092,80;451
25,88;3,463;3166,90;462
26,25;3,513;3243,10;473
26,63;3,563;3318,50;484
27,00;3,614;3398,20;496
27,38;3,663;3488,80;509
27,75;3,713;3586,80;524
28,13;3,763;3680,80;537
28,50;3,813;3776,20;551
28,88;3,864;3879,50;566
29,25;3,913;3982,20;581
29,63;3,963;4083,40;596
30,00;4,013;4187,90;611
30,38;4,063;4299,90;628
30,75;4,114;4408,20;644
31,13;4,163;4505,50;658
31,50;4,213;4583,40;669
31,88;4,264;4681,00;683
32,26;4,313;4800,90;701
32,63;4,364;4928,00;719
33,01;4,413;5060,60;739
33,38;4,463;5199,40;759
33,76;4,513;5338,70;779
34,13;4,563;5478,40;800
34,51;4,613;5620,30;821
34,88;4,663;5763,40;841
35,26;4,713;5913,40;863
35,63;4,764;6066,70;886
36,01;4,813;6220,90;908
36,38;4,864;6375,20;931
36,76;4,913;6533,90;954
37,13;4,963;6696,60;978
37,51;5,013;6859,30;1002
37,88;5,063;7026,80;1026
38,26;5,114;7195,60;1051
38,63;5,163;7365,40;1076
39,01;5,213;7539,20;1101
39,38;5,264;7712,60;1126
39,76;5,313;7886,20;1152
40,13;5,364;8062,70;1177
40,51;5,413;8237,40;1203
40,88;5,463;8417,80;1229
41,26;5,513;8605,00;1257
41,63;5,563;8795,50;1284
42,01;5,614;8982,00;1312
42,38;5,663;9173,30;1340
42,76;5,713;9364,30;1368
43,13;5,763;9560,30;1396
43,51;5,813;9757,30;1425
43,88;5,864;9952,70;1454
44,26;5,913;10147,80;1482
44,63;5,963;10349,50;1511
45,01;6,013;10551,30;1541
45,38;6,063;10754,90;1571
45,76;6,113;10957,10;1600
46,13;6,163;11159,40;1630
46,51;6,213;11366,40;1660
46,88;6,263;11571,30;1690
47,26;6,313;11780,10;1720
47,63;6,363;11987,00;1751
48,01;6,413;12195,60;1781
48,38;6,463;12408,10;1812
48,76;6,513;12619,00;1843
49,13;6,563;12830,50;1874
49,51;6,614;13042,80;1905
49,88;6,663;13254,00;1936
50,26;6,713;13467,20;1967
50,63;6,763;13681,90;1998
51,01;6,813;13895,20;2029
51,38;6,864;14076,30;2056
51,76;6,913;14291,90;2087
52,13;6,963;14507,30;2119
52,51;7,013;14725,70;2151
52,88;7,063;14942,70;2183
53,26;7,114;15147,60;2212
53,63;7,163;15357,80;2243
54,01;7,213;15568,00;2274
54,38;7,263;15776,60;2304
54,76;7,313;15992,20;2336
55,13;7,364;16203,20;2367
55,51;7,413;16396,70;2395
55,88;7,463;16562,90;2419
56,26;7,513;16781,10;2451
56,63;7,563;16995,60;2482
57,01;7,613;17202,80;2513
57,38;7,663;17339,20;2533
57,76;7,713;17549,80;2563
58,13;7,763;17756,60;2594
58,51;7,813;17965,40;2624
58,88;7,863;18158,50;2652
59,26;7,913;18346,80;2680
59,63;7,963;18016,90;2632
60,01;8,014;12745,20;1861
60,38;8,064;12982,20;1896
60,76;8,113;13248,70;1935
61,13;8,163;13505,20;1973
61,51;8,213;13754,00;2009
61,88;8,263;13982,60;2042
62,26;8,313;14196,30;2073
62,63;8,363;14391,90;2102
63,01;8,413;14546,50;2125
63,38;8,463;14672,10;2143
63,76;8,513;14835,10;2167
64,13;8,564;14994,60;2190
64,50;8,613;15119,60;2208
64,88;8,663;15252,60;2228
65,25;8,713;15392,60;2248
65,63;8,763;15532,20;2269
